,92602,92603,92604,92606,92612,92614,92618,92620,Irvine Average 5-Bedroom House Price
1996-04,373600.0,762800.0,277100.0,341800.0,322300.0,257400.0,406200.0,371300.0,389062.5
1996-05,374000.0,765400.0,278200.0,342400.0,325000.0,257300.0,409800.0,373200.0,390662.5
1996-06,374300.0,768100.0,279300.0,343000.0,327800.0,257200.0,413200.0,375200.0,392262.5
1996-07,374600.0,770700.0,280500.0,343700.0,330600.0,257200.0,416400.0,377300.0,393875.0
1996-08,374900.0,773500.0,281800.0,344500.0,333500.0,257300.0,419400.0,379400.0,395537.5
1996-09,375400.0,776400.0,283100.0,345400.0,336500.0,257500.0,422200.0,381700.0,397275.0
1996-10,376000.0,779700.0,284600.0,346500.0,339500.0,258000.0,424900.0,384200.0,399175.0
1996-11,376800.0,783300.0,286100.0,347600.0,342500.0,258600.0,427600.0,386600.0,401137.5
1996-12,378100.0,787700.0,288000.0,349200.0,345900.0,259500.0,431200.0,389500.0,403637.5
1997-01,379500.0,792300.0,290000.0,351100.0,349500.0,260400.0,435000.0,392700.0,406312.5
1997-02,380500.0,796500.0,291900.0,353000.0,352700.0,261100.0,438300.0,395600.0,408700.0
1997-03,380900.0,800200.0,293400.0,354500.0,355300.0,261700.0,440700.0,398000.0,410587.5
1997-04,381200.0,804100.0,294900.0,356100.0,357900.0,262300.0,443000.0,400600.0,412512.5
1997-05,381400.0,808100.0,296500.0,358000.0,360500.0,263100.0,445400.0,403400.0,414550.0
1997-06,381600.0,812100.0,298100.0,360100.0,363200.0,264000.0,447700.0,406400.0,416650.0
1997-07,381800.0,816100.0,299800.0,362600.0,366000.0,265200.0,449900.0,409600.0,418875.0
1997-08,382200.0,819900.0,301700.0,365300.0,369000.0,266600.0,452000.0,413000.0,421212.5
1997-09,382800.0,823700.0,303700.0,368300.0,372200.0,268300.0,454200.0,416600.0,423725.0
1997-10,383700.0,827700.0,305800.0,371800.0,375700.0,270200.0,456400.0,420500.0,426475.0
1997-11,384800.0,831900.0,308100.0,375400.0,379300.0,272400.0,458900.0,424400.0,429400.0
1997-12,386600.0,836600.0,310900.0,379500.0,383700.0,275000.0,462500.0,428600.0,432925.0
1998-01,388700.0,841400.0,313900.0,384000.0,388500.0,277700.0,466800.0,433200.0,436775.0
1998-02,390500.0,845700.0,316700.0,388400.0,392900.0,280300.0,470400.0,437300.0,440275.0
1998-03,391800.0,849600.0,319200.0,392500.0,397000.0,282600.0,473300.0,440900.0,443362.5
1998-04,393300.0,853800.0,321800.0,396800.0,401200.0,285100.0,476400.0,444600.0,446625.0
1998-05,394900.0,858200.0,324400.0,401300.0,405600.0,287700.0,479500.0,448300.0,449987.5
1998-06,396700.0,862600.0,327100.0,406000.0,410000.0,290400.0,482600.0,452200.0,453450.0
1998-07,398800.0,866900.0,330100.0,411000.0,414600.0,293300.0,485500.0,456200.0,457050.0
1998-08,401300.0,871300.0,333200.0,416200.0,419300.0,296300.0,488300.0,460400.0,460787.5
1998-09,404300.0,875800.0,336500.0,421600.0,424000.0,299400.0,491000.0,464700.0,464662.5
1998-10,408000.0,880400.0,340000.0,427300.0,428600.0,302700.0,493700.0,469300.0,468750.0
1998-11,412200.0,885500.0,343600.0,433100.0,433200.0,306200.0,496600.0,473900.0,473037.5
1998-12,417300.0,891200.0,347600.0,439200.0,437900.0,309800.0,500400.0,478800.0,477775.0
1999-01,422800.0,896900.0,351900.0,445600.0,442600.0,313300.0,504800.0,483900.0,482725.0
1999-02,428100.0,902200.0,355800.0,451800.0,446600.0,316500.0,508500.0,488700.0,487275.0
1999-03,433100.0,907300.0,359400.0,457600.0,449800.0,319300.0,511600.0,492900.0,491375.0
1999-04,438400.0,912800.0,362900.0,463500.0,452600.0,322100.0,514700.0,497100.0,495512.5
1999-05,443800.0,918700.0,366300.0,469600.0,455000.0,324800.0,517700.0,501300.0,499650.0
1999-06,449500.0,924800.0,369800.0,475900.0,457100.0,327700.0,520900.0,505600.0,503912.5
1999-07,455400.0,931100.0,373300.0,482400.0,459100.0,330500.0,524000.0,510100.0,508237.5
1999-08,461800.0,937600.0,376900.0,489100.0,461000.0,333500.0,527200.0,514700.0,512725.0
1999-09,468700.0,944300.0,380500.0,496000.0,462900.0,336600.0,530500.0,519500.0,517375.0
1999-10,476200.0,951500.0,384300.0,502900.0,464900.0,339800.0,534200.0,524500.0,522287.5
1999-11,484100.0,959300.0,388100.0,509800.0,466700.0,343100.0,538500.0,529500.0,527387.5
1999-12,492900.0,967800.0,392100.0,516900.0,468800.0,346600.0,544100.0,534800.0,533000.0
2000-01,501900.0,976400.0,396300.0,524200.0,471100.0,349900.0,550600.0,540300.0,538837.5
2000-02,510400.0,984500.0,400200.0,531000.0,473000.0,352800.0,557000.0,545500.0,544300.0
2000-03,518300.0,992400.0,403600.0,537200.0,474400.0,355300.0,563000.0,550100.0,549287.5
2000-04,526000.0,1000700.0,406800.0,543200.0,475700.0,357700.0,569300.0,554700.0,554262.5
2000-05,533400.0,1009100.0,409900.0,549100.0,477000.0,360200.0,575900.0,559300.0,559237.5
2000-06,540600.0,1017600.0,413100.0,555000.0,478400.0,362800.0,582800.0,564200.0,564312.5
2000-07,547600.0,1026100.0,416400.0,560900.0,480100.0,365500.0,589900.0,569300.0,569475.0
2000-08,554500.0,1034700.0,419800.0,566800.0,482200.0,368400.0,597200.0,574600.0,574775.0
2000-09,561500.0,1043300.0,423300.0,572600.0,484400.0,371500.0,604600.0,580100.0,580162.5
2000-10,568600.0,1052300.0,427000.0,578400.0,487000.0,374900.0,612400.0,585900.0,585812.5
2000-11,575800.0,1061800.0,430700.0,583800.0,489700.0,378600.0,620900.0,591600.0,591612.5
2000-12,583200.0,1071500.0,434600.0,589000.0,492800.0,382400.0,630500.0,597300.0,597662.5
2001-01,590200.0,1080700.0,438500.0,593900.0,495900.0,386000.0,640800.0,603000.0,603625.0
2001-02,596300.0,1089300.0,442300.0,598300.0,498900.0,389300.0,650800.0,608200.0,609175.0
2001-03,601600.0,1097900.0,445600.0,601900.0,501600.0,392300.0,660600.0,612600.0,614262.5
2001-04,606100.0,1106900.0,448500.0,605300.0,504200.0,395300.0,670500.0,616900.0,619212.5
2001-05,610100.0,1115800.0,451300.0,608500.0,506800.0,398400.0,680400.0,621000.0,624037.5
2001-06,613600.0,1124600.0,454200.0,611800.0,509600.0,401600.0,690200.0,625300.0,628862.5
2001-07,617000.0,1133100.0,457200.0,615300.0,512800.0,405000.0,699800.0,629900.0,633762.5
2001-08,620500.0,1141500.0,460500.0,618900.0,516600.0,408800.0,709200.0,634600.0,638825.0
2001-09,624300.0,1150100.0,464000.0,622800.0,521000.0,412800.0,718300.0,639700.0,644125.0
2001-10,628600.0,1159000.0,467800.0,626800.0,525800.0,417000.0,727300.0,645300.0,649700.0
2001-11,633300.0,1168200.0,471600.0,630600.0,531000.0,421600.0,736800.0,650900.0,655500.0
2001-12,638300.0,1177400.0,475500.0,634000.0,536400.0,426200.0,746900.0,656200.0,661362.5
