,92602,92603,92604,92606,92612,92614,92618,92620,Irvine Average 3-Bedroom House Price
1996-04,225700.0,296200.0,203000.0,212600.0,223000.0,231400.0,212500.0,225300.0,228712.5
1996-05,226300.0,297200.0,202800.0,212500.0,223800.0,231700.0,212100.0,225000.0,228925.0
1996-06,226800.0,298200.0,202500.0,212500.0,224600.0,231900.0,211800.0,224700.0,229125.0
1996-07,227400.0,299200.0,202300.0,212400.0,225400.0,232200.0,211300.0,224300.0,229312.5
1996-08,228000.0,300500.0,202300.0,212500.0,226300.0,232400.0,211000.0,224000.0,229625.0
1996-09,228700.0,301800.0,202400.0,212700.0,227300.0,232700.0,210800.0,223700.0,230012.5
1996-10,229400.0,303400.0,202600.0,213100.0,228400.0,233200.0,210800.0,223500.0,230550.0
1996-11,230200.0,304900.0,203100.0,213500.0,229600.0,233600.0,210900.0,223300.0,231137.5
1996-12,231300.0,306700.0,203800.0,214200.0,231100.0,234400.0,211300.0,223400.0,232025.0
1997-01,232500.0,308600.0,204700.0,215200.0,232800.0,235300.0,211900.0,223700.0,233087.5
1997-02,233500.0,310100.0,205600.0,216000.0,234300.0,236100.0,212500.0,223900.0,234000.0
1997-03,234100.0,311200.0,206400.0,216700.0,235600.0,236700.0,212800.0,223700.0,234650.0
1997-04,234700.0,312300.0,207200.0,217400.0,236800.0,237200.0,213200.0,223700.0,235312.5
1997-05,235200.0,313300.0,208100.0,218200.0,238000.0,237800.0,213800.0,223900.0,236037.5
1997-06,235800.0,314400.0,209100.0,219200.0,239400.0,238400.0,214400.0,224200.0,236862.5
1997-07,236400.0,315600.0,210300.0,220300.0,240800.0,239100.0,215200.0,224700.0,237800.0
1997-08,237100.0,317100.0,211700.0,221700.0,242400.0,239800.0,216300.0,225500.0,238950.0
1997-09,237900.0,318900.0,213200.0,223200.0,244200.0,240800.0,217600.0,226700.0,240312.5
1997-10,238900.0,320800.0,214900.0,225100.0,246000.0,241900.0,219300.0,228200.0,241887.5
1997-11,240000.0,322900.0,216800.0,227000.0,248000.0,243200.0,221300.0,229900.0,243637.5
1997-12,241300.0,325200.0,219000.0,229200.0,250200.0,244900.0,223700.0,232200.0,245712.5
1998-01,242900.0,327700.0,221300.0,231700.0,252600.0,246700.0,226300.0,234800.0,248000.0
1998-02,244200.0,329700.0,223500.0,234100.0,254800.0,248500.0,228900.0,237300.0,250125.0
1998-03,245300.0,331300.0,225500.0,236300.0,256700.0,250100.0,231300.0,239700.0,252025.0
1998-04,246300.0,332900.0,227500.0,238500.0,258500.0,251600.0,233800.0,242100.0,253900.0
1998-05,247500.0,334400.0,229500.0,240700.0,260200.0,253100.0,236400.0,244600.0,255800.0
1998-06,248800.0,335900.0,231400.0,243000.0,262000.0,254700.0,239000.0,247200.0,257750.0
1998-07,250300.0,337500.0,233400.0,245300.0,263900.0,256400.0,241800.0,249900.0,259812.5
1998-08,251900.0,339400.0,235300.0,247800.0,265800.0,258100.0,244600.0,252600.0,261937.5
1998-09,253800.0,341500.0,237300.0,250400.0,267900.0,260000.0,247600.0,255200.0,264212.5
1998-10,256000.0,343800.0,239400.0,253100.0,270000.0,262000.0,250800.0,257900.0,266625.0
1998-11,258300.0,346200.0,241500.0,255800.0,272100.0,264200.0,254100.0,260700.0,269112.5
1998-12,261100.0,348800.0,243700.0,258700.0,274600.0,266600.0,257600.0,263600.0,271837.5
1999-01,264000.0,351400.0,246000.0,261600.0,277200.0,269200.0,261200.0,266400.0,274625.0
1999-02,266800.0,353600.0,247900.0,264300.0,279500.0,271700.0,264500.0,268800.0,277137.5
1999-03,269200.0,355500.0,249600.0,266700.0,281500.0,273900.0,267400.0,270700.0,279312.5
1999-04,271700.0,357200.0,251200.0,269000.0,283400.0,276200.0,270200.0,272500.0,281425.0
1999-05,274300.0,358900.0,252700.0,271300.0,285200.0,278400.0,272900.0,274100.0,283475.0
1999-06,276900.0,360700.0,254200.0,273500.0,287200.0,280500.0,275400.0,275600.0,285500.0
1999-07,279700.0,362700.0,255800.0,275800.0,289200.0,282600.0,277900.0,277100.0,287600.0
1999-08,282500.0,365000.0,257500.0,278300.0,291300.0,284700.0,280500.0,278700.0,289812.5
1999-09,285600.0,367700.0,259400.0,280700.0,293600.0,287000.0,283000.0,280400.0,292175.0
1999-10,288800.0,370700.0,261500.0,283400.0,296000.0,289500.0,285800.0,282400.0,294762.5
1999-11,292100.0,374000.0,263800.0,286200.0,298500.0,292000.0,288600.0,284500.0,297462.5
1999-12,295700.0,377300.0,266300.0,289100.0,301300.0,294700.0,291500.0,287000.0,300362.5
2000-01,299300.0,380800.0,269000.0,292200.0,304300.0,297600.0,294700.0,289700.0,303450.0
2000-02,302700.0,383900.0,271500.0,295100.0,307100.0,300300.0,297600.0,292200.0,306300.0
2000-03,305600.0,386500.0,273900.0,297600.0,309500.0,302700.0,300100.0,294400.0,308787.5
2000-04,308400.0,389000.0,276100.0,300000.0,311900.0,305100.0,302400.0,296700.0,311200.0
2000-05,311200.0,391400.0,278400.0,302400.0,314200.0,307400.0,304700.0,299000.0,313587.5
2000-06,314000.0,393900.0,280700.0,304900.0,316600.0,309600.0,307000.0,301400.0,316012.5
2000-07,317000.0,396500.0,283000.0,307400.0,319200.0,311700.0,309300.0,303900.0,318500.0
2000-08,320100.0,399600.0,285500.0,310200.0,322000.0,314100.0,311800.0,306600.0,321237.5
2000-09,323400.0,403000.0,288300.0,313200.0,325100.0,316600.0,314500.0,309500.0,324200.0
2000-10,326900.0,406900.0,291200.0,316300.0,328400.0,319500.0,317700.0,312700.0,327450.0
2000-11,330600.0,410900.0,294200.0,319600.0,331800.0,322400.0,321000.0,316100.0,330825.0
