,92602,92603,92604,92606,92612,92614,92618,92620,Irvine Average 4-Bedroom House Price
1996-04,309300.0,444000.0,266700.0,261900.0,258900.0,312000.0,279400.0,301000.0,304150.0
1996-05,309000.0,443700.0,266800.0,261700.0,259800.0,312000.0,279400.0,300300.0,304087.5
1996-06,308600.0,443600.0,266800.0,261500.0,260700.0,312100.0,279500.0,299800.0,304075.0
1996-07,308200.0,443700.0,266800.0,261400.0,261700.0,312300.0,279600.0,299300.0,304125.0
1996-08,308000.0,444200.0,267100.0,261400.0,262900.0,312700.0,279700.0,298900.0,304362.5
1996-09,307800.0,444900.0,267400.0,261400.0,264000.0,313300.0,280000.0,298800.0,304700.0
1996-10,308000.0,445900.0,267900.0,261600.0,265200.0,314200.0,280400.0,298800.0,305250.0
1996-11,308400.0,447100.0,268500.0,261800.0,266300.0,315100.0,281000.0,299100.0,305912.5
1996-12,309300.0,448600.0,269500.0,262400.0,267700.0,316500.0,282100.0,299700.0,306975.0
1997-01,310500.0,450300.0,270600.0,263200.0,269400.0,318300.0,283400.0,300600.0,308287.5
1997-02,311500.0,452100.0,271600.0,264000.0,271000.0,320300.0,284700.0,301400.0,309575.0
1997-03,312200.0,453900.0,272300.0,264700.0,272400.0,322200.0,285900.0,302100.0,310712.5
1997-04,312800.0,455800.0,273000.0,265400.0,273800.0,324300.0,287200.0,302800.0,311887.5
1997-05,313500.0,458200.0,273800.0,266200.0,275300.0,326800.0,288700.0,303800.0,313287.5
1997-06,314300.0,460900.0,274700.0,267200.0,277000.0,329600.0,290400.0,304900.0,314875.0
1997-07,315100.0,464200.0,275800.0,268500.0,279000.0,332800.0,292400.0,306300.0,316762.5
1997-08,316100.0,468000.0,277000.0,269900.0,281300.0,336300.0,294600.0,307900.0,318887.5
1997-09,317300.0,472200.0,278500.0,271600.0,283700.0,340100.0,296900.0,309700.0,321250.0
1997-10,318800.0,476700.0,280200.0,273500.0,286400.0,344100.0,299500.0,311900.0,323887.5
1997-11,320700.0,481300.0,282100.0,275500.0,289000.0,348300.0,302300.0,314400.0,326700.0
1997-12,323000.0,486000.0,284300.0,278000.0,292000.0,352700.0,305600.0,317400.0,329875.0
1998-01,325700.0,490600.0,286800.0,280700.0,295500.0,357400.0,309200.0,320500.0,333300.0
1998-02,328200.0,494900.0,289000.0,283500.0,298900.0,362000.0,312600.0,323500.0,336575.0
1998-03,330400.0,498900.0,290900.0,286000.0,302000.0,366300.0,315800.0,326300.0,339575.0
1998-04,332600.0,502800.0,292900.0,288600.0,305200.0,370600.0,319100.0,329200.0,342625.0
1998-05,334800.0,506600.0,294900.0,291300.0,308500.0,375000.0,322500.0,332200.0,345725.0
1998-06,337100.0,510600.0,296900.0,294100.0,311900.0,379500.0,325800.0,335200.0,348887.5
1998-07,339500.0,514700.0,299100.0,297100.0,315500.0,384000.0,329200.0,338200.0,352162.5
1998-08,342000.0,519100.0,301400.0,300100.0,319200.0,388400.0,332600.0,341400.0,355525.0
1998-09,344800.0,523400.0,303800.0,303200.0,323000.0,392700.0,336000.0,344600.0,358937.5
1998-10,347900.0,527700.0,306500.0,306300.0,326800.0,397100.0,339500.0,347800.0,362450.0
1998-11,351400.0,531700.0,309300.0,309500.0,330300.0,401200.0,342900.0,351300.0,365950.0
1998-12,355300.0,535600.0,312400.0,312700.0,334000.0,405200.0,346700.0,354800.0,369587.5
1999-01,359500.0,539000.0,315500.0,316200.0,337900.0,409100.0,350500.0,358200.0,373237.5
1999-02,363400.0,541900.0,318400.0,319400.0,341600.0,412600.0,353900.0,361100.0,376537.5
1999-03,366900.0,544200.0,320900.0,322200.0,344800.0,415500.0,356900.0,363500.0,379362.5
1999-04,370400.0,546200.0,323300.0,324900.0,347800.0,418200.0,359800.0,365600.0,382025.0
1999-05,373700.0,548000.0,325800.0,327500.0,350600.0,420600.0,362700.0,367600.0,384562.5
1999-06,377000.0,549900.0,328200.0,330000.0,353500.0,423100.0,365500.0,369500.0,387087.5
1999-07,380200.0,552000.0,330600.0,332600.0,356400.0,425400.0,368400.0,371400.0,389625.0
1999-08,383600.0,554600.0,333200.0,335100.0,359300.0,427600.0,371300.0,373400.0,392262.5
1999-09,387100.0,557500.0,336000.0,337700.0,362200.0,429700.0,374100.0,375600.0,394987.5
1999-10,390900.0,560500.0,339000.0,340300.0,365000.0,432000.0,377000.0,378200.0,397862.5
1999-11,395100.0,563800.0,342300.0,342900.0,367300.0,434000.0,380100.0,381100.0,400825.0
1999-12,399700.0,567100.0,345800.0,345600.0,369700.0,436000.0,383500.0,384400.0,403975.0
2000-01,404600.0,570500.0,349400.0,348500.0,372400.0,438000.0,387100.0,387900.0,407300.0
