"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-04-30,75032,"38849","MS","Tupelo","Lee","Guntown",10442,131200,0.00768049155145929,0.0258014073494918,0.0355169692186267,0.000457945543886007,0.00373409390142276,"2007-11","2007-Q4",133500,-0.0172284644194757,"2006-09"
2018-04-30,79002,"48133","MI","Monroe","Monroe","La Salle",10443,124800,0.00726392251815981,0.0146341463414634,0.0630323679727428,0.0930119739438586,0.00935842426968669,"2005-09","2005-Q3",144600,-0.136929460580913,"2004-01"
2018-04-30,91094,"75831","TX",,"Leon","Buffalo",10444,93200,0.00322927879440258,0.0130434782608696,0.0309734513274336,0.0346624150214947,0.00702351896667786,"2018-04","2018-Q2",93200,0,"2018-04"
2018-04-30,99687,"98281","WA","Bellingham","Whatcom","Point Roberts",10445,253200,0.0115860966839792,0.042833607907743,0.100391134289439,0.0549259745497142,-0.00268503704095746,"2008-02","2008-Q1",261900,-0.0332187857961054,"2007-08"
2018-04-30,98226,"95467","CA","Clearlake","Lake","Hidden Valley Lake",10446,300300,0.0111111111111111,0.0316042597045689,0.0721171010353445,0.106194527495294,-0.00378289163181444,"2005-12","2005-Q4",388500,-0.227027027027027,"2004-12"
2018-04-30,100032,"98936","WA","Yakima","Yakima","Moxee",10447,203100,0.00445103857566766,-0.00441176470588235,0.030441400304414,0.0390474291823957,0.0208689340335351,"2017-12","2017-Q4",204900,-0.00878477306002928,"2017-11"
2018-04-30,87076,"66064","KS","Kansas City","Miami","Osawatomie",10448,82200,0.0173267326732673,0.0703125,0.0901856763925729,-0.0148834413043691,-0.0131142049325588,"2007-09","2007-Q3",96300,-0.146417445482866,"2005-09"
2018-04-30,92927,"79363","TX","Lubbock","Lubbock","Shallowater",10449,153800,0.00391644908616188,0.0151815181518152,0.103299856527977,0.0556784705576225,0.0351251142172886,"2018-04","2018-Q2",153800,0,"2018-04"
2018-04-30,72115,"32621","FL",,"Levy","Bronson",10450,104700,0.0575757575757576,0.110286320254507,0.155629139072848,0.0835419569367901,-0.00645086209258294,"2007-07","2007-Q3",121500,-0.138271604938272,"2006-10"
2018-04-30,64598,"16424","PA","Meadville","Crawford","Pymatuning Central",10451,77100,-0.0140664961636829,-0.0240506329113924,0.0905233380480905,0.0432153235193276,0.0116021975217289,"2018-02","2018-Q1",79300,-0.0277427490542245,"2018-01"
2018-04-30,58411,"01534","MA","Worcester","Worcester","Northbridge",10452,346600,0.00202370627348945,0.0140433001755413,0.0671182266009852,0.0518424659454948,0.0124373447387303,"2005-09","2005-Q3",368200,-0.0586637696903857,"2005-01"
2018-04-30,65059,"17370","PA","York","York","Newberry",10453,171900,-0.000581395348837209,0.0099882491186839,0.0399274047186933,0.0277674252997397,0.00428789434456944,"2018-03","2018-Q1",172000,-0.000581395348837209,"2018-03"
2018-04-30,65746,"19074","PA","Philadelphia","Delaware","Norwood",10454,155000,0.00129198966408269,0.00258732212160414,0.0124101894186806,0.0263481754297854,-0.0142929409644166,"2008-02","2008-Q1",179800,-0.137931034482759,"2005-03"
2018-04-30,81959,"54893","WI",,"Burnett","Webster",10455,140800,0,-0.0028328611898017,0.0232558139534884,0.016872674944109,-0.00470544140381302,"2005-10","2005-Q4",176000,-0.2,"2002-03"
2018-04-30,87291,"66739","KS",,"Cherokee","Galena",10456,43400,-0.00458715596330275,-0.0091324200913242,-0.0805084745762712,,,"2015-10","2015-Q4",47800,-0.0920502092050209,"2014-10"
2018-04-30,70666,"29689","SC","Greenville","Anderson","Townville",10457,229300,0.0310251798561151,0.073501872659176,0.114188532555879,0.083152343912382,-0.000781627111907213,"2008-06","2008-Q2",233700,-0.0188275566966196,"2008-04"
2018-04-30,94054,"83211","ID",,"Power","American Falls",10458,162400,0.00185070943861814,0.00806952203600248,0.0677186061801446,0.084204857118791,0.0264383539037998,"2018-04","2018-Q2",162400,0,"2018-04"
2018-04-30,74542,"37887","TN","Knoxville","Morgan","Wartburg",10459,91600,0.0077007700770077,0.0246085011185682,0.0700934579439252,0.039141610369027,0.00857906148933774,"2007-06","2007-Q2",96400,-0.0497925311203319,"2007-01"
2018-04-30,82026,"54986","WI","Oshkosh","Winnebago","Winneconne",10460,169900,0.00890736342042755,0.0247285886610374,0.101101749837978,0.0505072663590449,0.0296921753259491,"2018-04","2018-Q2",169900,0,"2018-04"
2018-04-30,87283,"66725","KS",,"Cherokee","Columbus",10461,53800,0.0112781954887218,0.0326295585412668,0.0247619047619048,0.00567144129225206,-0.0113410633953039,"2004-12","2004-Q4",77800,-0.308483290488432,"1998-05"
2018-04-30,58920,"02822","RI","Providence","Washington","Exeter",10462,320600,0.0123144932112409,0.0388852883992223,0.058435127104655,0.0397711074902256,0.00352983003360707,"2006-06","2006-Q2",361500,-0.11313969571231,"2005-04"
2018-04-30,82978,"56636","MN",,"Itasca","Deer River",10463,130600,-0.0128495842781557,-0.049490538573508,-0.0217228464419476,0.0430172758370591,0.0221550270432969,"2017-10","2017-Q4",138900,-0.0597552195824334,"2017-03"
2018-04-30,60904,"08007","NJ","Philadelphia","Camden","Barrington",10464,168900,0.0065554231227652,0.012589928057554,0.0451732673267327,0.00322818768958277,-0.0214047083095305,"2007-09","2007-Q3",211600,-0.20179584120983,"2004-12"
2018-04-30,86379,"64145","MO","Kansas City","Jackson","Kansas City",10465,263700,0.0150115473441109,0.05564451561249,0.0689096068098906,0.0613521120294316,0.0281381269194481,"2018-04","2018-Q2",263700,0,"2018-04"
2018-04-30,89538,"72416","AR","Jonesboro","Craighead","Bono",10466,99200,0.027979274611399,0.0747562296858072,0.0344108446298227,0.0495299657562751,0.0200985086836143,"2016-10","2016-Q4",104700,-0.052531041069723,"2016-04"
2018-04-30,59351,"04079","ME","Portland","Cumberland","Harpswell",10467,422900,-0.0091377694470478,-0.0324868451155342,-0.0185657925272685,0.0531676415987037,0.0150554664185876,"2017-10","2017-Q4",441700,-0.0425628254471361,"2017-03"
2018-04-30,74329,"37357","TN","McMinnville","Warren","Morrison",10468,123800,0.0147540983606557,0.0438448566610455,0.0681622088006903,0.0880100903576999,0.029909282344299,"2018-04","2018-Q2",123800,0,"2018-04"
2018-04-30,61089,"08518","NJ","Philadelphia","Burlington","Florence",10469,199900,-0.00843253968253968,-0.0123517786561265,0.109938922820655,0.0266116199168578,-0.016547723251072,"2007-01","2007-Q1",254800,-0.215463108320251,"2004-11"
2018-04-30,92543,"78605","TX",,"Burnet","Bertram",10470,176800,0.0131805157593123,0.0155083285468122,0.0787065283709579,0.0376072203357851,0.0186993909077244,"2018-04","2018-Q2",176800,0,"2018-04"
2018-04-30,68104,"24340","VA","Kingsport","Washington","Glade Spring",10471,101300,0.00396432111000991,0.014014014014014,0.0273833671399594,0.0230296078917045,0.014868566381534,"2017-10","2017-Q4",101400,-0.000986193293885602,"2017-10"
2018-04-30,69694,"28073","NC","Shelby","Cleveland","Grover",10472,80400,0.0125944584382872,0.0151515151515152,0.0177215189873418,0.0220312068348727,-0.00401440079446913,"2007-09","2007-Q3",84800,-0.0518867924528302,"2006-07"
2018-04-30,81900,"54812","WI",,"Barron","Barron",10473,108000,-0.00184842883548983,-0.0100824931255729,0.010289990645463,0.0422834645977199,0.0148474955783524,"2004-08","2004-Q3",118200,-0.0862944162436548,"2002-10"
2018-04-30,96908,"92549","CA","Riverside","Riverside","Idyllwild",10474,297500,0.00472813238770686,0.0157050187777398,0.12391386475255,0.0896109772320597,0.0185295488784878,"2006-07","2006-Q3",327300,-0.0910479682248701,"2005-10"
2018-04-30,79185,"48412","MI","Detroit","Lapeer","Attica",10475,169700,-0.011648223645894,-0.0252728317059161,0.0666247642991829,0.079616955733079,0.0182674443519133,"2004-10","2004-Q4",198000,-0.142929292929293,
2018-04-30,98914,"96779","HI","Kahului","Maui","Paia",10476,747600,0.011226836196402,0.0330247340058035,0.0735209649626651,0.0872344013864692,0.0140878832337772,"2018-04","2018-Q2",747600,0,"2018-04"
2018-04-30,63523,"14432","NY","Rochester","Ontario","Clifton Springs",10477,134800,-0.00443131462333826,-0.00148148148148148,0.091497975708502,0.0430219564395853,0.0167223695032406,"2018-02","2018-Q1",135700,-0.00663227708179808,"2018-01"
2018-04-30,65124,"17579","PA","Lancaster","Lancaster","Strasburg",10478,221100,0.005,0.0146856356126664,0.0394922425952045,0.0399177060496345,0.00256871133208514,"2018-04","2018-Q2",221100,0,"2018-04"
2018-04-30,85945,"63127","MO","St. Louis","Saint Louis","Sunset Hills",10479,452200,0.00645448475406187,0.0170940170940171,0.0930626057529611,0.0615185960774434,0.0183543451111163,"2018-04","2018-Q2",452200,0,"2018-04"
2018-04-30,79590,"49106","MI","Niles","Berrien","Bridgman",10480,171800,0.00762463343108504,0.0220107079119572,0.0784682988072819,0.0408965468152236,0.0102134449708673,"2018-04","2018-Q2",171800,0,"2018-04"
2018-04-30,85212,"61873","IL","Champaign-Urbana","Champaign","Saint Joseph",10481,161300,0.00435865504358655,0.0163831127914304,0.0163831127914304,0.0180485024846921,0.0103623105578685,"2018-04","2018-Q2",161300,0,"2018-04"
2018-04-30,71014,"30292","GA","Atlanta","Pike","Williamson",10482,172600,0.0200945626477541,0.0422705314009662,0.120051914341337,0.0690658681245147,0.00805099250610475,"2018-04","2018-Q2",172600,0,"2018-04"
2018-04-30,74960,"38683","MS",,"Tippah","Walnut",10483,81000,0.00746268656716418,-0.0481786133960047,-0.0205562273276904,-0.0132811489758005,,"2012-09","2012-Q3",91900,-0.11860718171926,
2018-04-30,65256,"17931","PA","Pottsville","Schuylkill","Frackville",10484,61900,0.0299500831946755,0.0746527777777778,0.36043956043956,0.033096715900278,-0.00207625374331055,"2007-05","2007-Q2",64900,-0.0462249614791988,"2006-05"
2018-04-30,84531,"60480","IL","Chicago","Cook","Willow Springs",10485,246200,0.00285132382892057,0.014003294892916,0.0436625688851208,0.0457032709533027,-0.0168488849669349,"2006-06","2006-Q2",313300,-0.214171720395787,"2002-08"
2018-04-30,62653,"12545","NY","New York","Dutchess","Washington",10486,310100,0.0114155251141552,0.0378179384203481,0.163602251407129,0.0402283204960237,-0.0191110473486812,"2006-10","2006-Q4",385600,-0.195798755186722,"2004-07"
2018-04-30,60784,"07738","NJ","New York","Monmouth","Middletown",10487,553300,-0.00342219020172911,-0.00396039603960396,0.0221688527618696,0.0295178948913959,-0.00224917024196747,"2006-10","2006-Q4",594600,-0.0694584594685503,"2005-07"
2018-04-30,72915,"33922","FL","Fort Myers","Lee","Bokeelia",10488,248600,0.00525677315002022,0.0176013098649202,0.0471777590564448,0.0758269143396335,0.0061998336531166,"2006-02","2006-Q1",365900,-0.320579393276852,"2004-06"
2018-04-30,65051,"17360","PA","York","York","Springfield",10489,217500,0.00415512465373961,0.019690576652602,0.0481927710843374,0.0505145404837426,-0.0100840608677972,"2007-06","2007-Q2",253300,-0.141334386103435,"2005-09"
2018-04-30,71809,"32130","FL","Daytona Beach","Volusia","De Leon Springs",10490,170700,0.00530035335689046,0.0166765932102442,0.174002751031637,0.162506780003096,0.0128087717938312,"2006-10","2006-Q4",185700,-0.0807754442649435,"2006-02"
2018-04-30,81383,"53559","WI","Madison","Dane","Marshall",10491,234600,0.00859845227858985,0.026246719160105,0.0702554744525547,0.0633039893380052,0.0206134886751073,"2018-04","2018-Q2",234600,0,"2018-04"
2018-04-30,93934,"82443","WY",,"Hot Springs","Thermopolis",10492,152900,0.0072463768115942,0.0254862508383635,0.108774474256708,0.0226518166360348,,"2018-04","2018-Q2",152900,0,"2018-04"
2018-04-30,74493,"37818","TN","Greeneville","Greene","Mosheim",10493,90000,0.0273972602739726,0.0701545778834721,0.0962241169305725,0.0573507544502656,0.0214358888282733,"2018-04","2018-Q2",90000,0,"2018-04"
2018-04-30,77585,"45323","OH","Springfield","Clark","Enon",10494,128400,0.010228166797797,0.0239234449760766,0.0447518307567128,0.0308557607819928,0.00479707140008689,"2006-10","2006-Q4",133100,-0.0353117956423742,"2006-04"
2018-04-30,63422,"14108","NY","Buffalo","Niagara","Newfane",10495,126500,0.00237717908082409,0.0111910471622702,0.171296296296296,0.0750357910711728,0.0385015350122193,"2018-04","2018-Q2",126500,0,"2018-04"
2018-04-30,79162,"48363","MI","Detroit","Oakland","Oakland",10496,420700,0.00309966618979495,0.0147129763627593,0.0323926380368098,0.0889871885873779,0.0128150669043363,"2007-05","2007-Q2",422400,-0.00402462121212121,"2007-05"
2018-04-30,76336,"42366","KY","Owensboro","Daviess","Philpot",10497,149800,0.0225255972696246,0.0594059405940594,0.118745332337565,0.0378588347614826,0.0246708267404379,"2018-04","2018-Q2",149800,0,"2018-04"
2018-04-30,82858,"56442","MN","Brainerd","Crow Wing","Cross Lake",10498,290900,0.0100694444444444,0.0174886323889472,0.0746213520502401,0.082949725604694,0.0108275146314645,"2018-04","2018-Q2",290900,0,"2018-04"
2018-04-30,85915,"63089","MO","St. Louis","Franklin","Villa Ridge",10499,177300,0.00910643141718839,0.0326150262085032,0.0585074626865672,0.0330446589519848,0.00636503978613612,"2018-04","2018-Q2",177300,0,"2018-04"
2018-04-30,84816,"61088","IL","Rockford","Winnebago","Winnebago",10500,143200,0.000698812019566737,0.00916138125440451,0.0513950073421439,0.0182796269791752,-0.00402935699291285,"2007-09","2007-Q3",153200,-0.0652741514360313,"2006-01"
2018-04-30,79653,"49270","MI","Monroe","Monroe","Petersburg",10501,163300,-0.00244349419670128,-0.00669099756690998,0.05627425614489,0.0810510714521198,0.0138603253602452,"2005-04","2005-Q2",164500,-0.00729483282674772,"2005-02"
2018-04-30,86975,"65747","MO","Branson","Stone","Shell Knob",10502,169200,0.0023696682464455,0.00834326579261025,0.0729232720355105,0.0617458311353773,0.0217828259973494,"2018-04","2018-Q2",169200,0,"2018-04"
2018-04-30,59433,"04282","ME","Lewiston","Androscoggin","Turner",10503,182700,0.00329489291598023,0.00439802089059923,0.0721830985915493,0.0413433424832592,0.0152108163986104,"2018-04","2018-Q2",182700,0,"2018-04"
2018-04-30,61025,"08243","NJ","Ocean City","Cape May","Sea Isle City",10504,684400,0.00278388278388278,0.00958843487240006,0.0474441383532293,0.0391615345093641,0.00403309922207629,"2006-04","2006-Q2",820900,-0.16628091119503,"2004-12"
2018-04-30,98393,"95709","CA","Sacramento","El Dorado","Camino",10505,386000,0.0049466284821661,0.0238726790450928,0.145060812815188,0.10098999660129,0.019119799792874,"2005-12","2005-Q4",417700,-0.0758917883648552,"2005-04"
2018-04-30,78839,"47932","IN",,"Fountain","Covington",10506,102300,0.00788177339901478,0.0209580838323353,0.11925601750547,0.0517237978377547,0.00137892440298204,"2018-04","2018-Q2",102300,0,"2018-04"
2018-04-30,74298,"37324","TN","Tullahoma","Franklin","Decherd",10507,85600,-0.0138248847926267,-0.036036036036036,-0.00811123986095017,0.0375254396284948,0.0139855106592501,"2018-01","2018-Q1",88800,-0.036036036036036,"2017-03"
