City,Zip Code,Households,<10k,10k - 15k,15k - 25k,25k - 35k,35k - 50k,50k - 75k,75k - 100k,100k - 150k,150k - 200k,200k+,Median Income ($),Mean Income ($)
Newport Beach,92662,1462,1.2,4.2,4.2,6.9,7.9,17.9,10.7,12.4,11.6,22.9,97206.0,193457.0
Newport Beach,92663,10228,6.4,1.7,4.3,7.4,7.9,13.0,11.0,21.6,9.3,17.4,94938.0,135247.0
Newport Coast,92657,3866,2.5,0.0,2.9,3.4,4.8,4.8,5.4,17.5,9.8,48.8,195051.0,293983.0
Orange,92865,6186,3.3,2.4,5.4,5.7,9.3,14.8,15.5,25.4,10.7,7.4,89016.0,100400.0
Orange,92866,5445,7.5,2.8,8.1,7.8,15.2,16.8,18.2,13.5,7.0,3.2,65460.0,76701.0
Orange,92867,12821,3.6,2.4,6.1,8.0,10.4,15.1,13.2,18.0,9.6,13.5,82347.0,112193.0
Orange,92868,7763,5.8,4.9,6.7,7.4,12.9,22.5,16.1,16.0,4.2,3.3,61404.0,75641.0
Orange,92869,11444,2.7,1.6,4.5,6.5,8.9,16.2,13.3,19.2,12.5,14.6,91904.0,118806.0
Placentia,92870,16947,2.6,2.1,7.2,5.9,10.8,16.9,15.2,18.1,12.3,8.9,81137.0,100355.0
Rancho Santa Margarita,92688,15947,2.3,2.8,5.5,4.6,7.3,15.5,12.3,22.4,14.7,12.6,99342.0,117094.0
San Clemente,92672,14313,5.6,3.1,5.0,9.2,11.0,15.9,11.8,16.7,7.6,14.0,75561.0,107573.0
San Clemente,92673,10208,1.7,0.9,3.7,4.7,6.3,9.5,8.8,18.2,15.3,30.8,136776.0,171937.0
San Juan Capistrano,92675,12087,4.0,3.9,8.5,7.5,8.8,14.9,13.2,14.9,9.2,15.1,80120.0,119545.0
Santa Ana,92701,12709,5.8,6.4,19.0,13.6,17.4,18.5,9.9,6.6,1.7,1.1,39348.0,49555.0
Santa Ana,92703,13358,4.7,5.2,10.7,12.3,16.2,21.6,12.6,10.7,3.4,2.7,50692.0,63661.0
Santa Ana,92704,19793,3.6,3.3,7.8,11.2,13.0,23.0,13.1,16.0,5.8,3.1,60867.0,75744.0
Santa Ana,92705,15137,1.4,2.5,6.6,6.8,10.4,15.2,12.2,15.1,10.5,19.2,87782.0,136399.0
Santa Ana,92706,9197,3.8,3.7,9.5,13.0,13.0,17.9,12.0,13.4,6.8,6.9,58623.0,80146.0
Santa Ana,92707,13458,3.4,2.8,7.6,9.5,16.4,20.6,12.8,18.2,5.3,3.4,61348.0,76565.0
Seal Beach,90740,12276,5.3,5.7,12.4,10.6,10.4,13.6,10.1,14.3,7.5,10.1,59875.0,94636.0
Silverado,92676,849,2.4,0.5,3.4,6.2,9.4,11.2,15.4,14.8,13.0,23.7,100919.0,128655.0
Stanton,90680,9019,5.7,4.6,11.0,11.3,17.1,18.3,11.4,12.3,6.2,2.1,50293.0,65241.0
Sunset Beach,90742,334,6.0,0.0,0.0,6.0,6.9,26.9,21.6,9.9,10.8,12.0,76667.0,115649.0
Surfside,90743,167,9.6,9.6,0.0,0.0,14.4,13.2,0.0,13.8,10.2,29.3,109028.0,130259.0
Trabuco Canyon,92678,217,0.0,2.3,6.0,4.1,18.9,13.8,22.6,9.7,12.0,10.6,82386.0,104493.0
Trabuco Canyon,92679,10685,1.5,0.5,2.4,1.6,5.3,8.9,8.2,19.7,17.8,34.2,153531.0,191735.0
Tustin,92780,19424,3.2,3.4,7.5,8.5,13.1,21.2,14.2,15.7,6.6,6.4,66306.0,84324.0
Tustin,92782,8306,4.7,1.5,5.4,5.4,8.6,14.2,10.3,22.0,10.5,17.5,100024.0,125009.0
Villa Park,92861,1975,2.6,0.8,3.1,3.9,6.8,7.1,11.7,20.6,13.6,29.7,131750.0,173153.0
Westminster,92683,27274,6.0,6.1,11.4,9.0,13.2,16.5,11.9,14.2,6.7,5.1,55224.0,75339.0
Yorba Linda,92886,16079,2.2,1.0,4.9,4.1,7.4,11.6,13.2,21.5,14.0,20.1,112204.0,138960.0
Yorba Linda,92887,6704,1.7,0.7,2.5,5.3,6.5,9.9,11.5,19.4,16.5,26.0,129768.0,156449.0
