,Zip Code,City,County,Households,<10k,10k - 15k,15k - 25k,25k - 35k,35k - 50k,50k - 75k,75k - 100k,100k - 150k,150k - 200k,200k+,Median Income ($),Mean Income ($)
43,90046,Los Angeles,Los Angeles,29071,6.8,8.6,8.7,7.4,10.8,14.5,11.4,13.3,5.8,12.6,61157.0,104948.0
44,90047,Los Angeles,Los Angeles,16852,11.4,9.4,10.3,13.6,12.5,16.9,10.2,11.0,2.9,1.9,40913.0,55335.0
45,90048,Los Angeles,Los Angeles,11984,5.8,3.1,5.1,4.8,8.5,17.8,13.6,16.4,8.6,16.4,83672.0,124876.0
46,90049,Los Angeles,Los Angeles,16367,4.8,2.2,4.2,5.1,5.4,11.4,10.8,16.0,9.7,30.4,117007.0,205495.0
47,90056,Los Angeles,Los Angeles,3336,6.8,1.2,5.9,8.9,11.1,16.1,8.8,17.2,10.9,13.0,74959.0,112969.0
48,90057,Los Angeles,Los Angeles,16484,10.7,13.2,19.3,15.4,15.9,14.2,6.1,4.0,0.6,0.5,29332.0,38511.0
49,90058,Los Angeles,Los Angeles,802,36.5,12.6,20.9,6.7,6.0,8.9,7.6,0.6,0.0,0.1,15224.0,25645.0
50,90059,Los Angeles,Los Angeles,10371,13.3,9.4,14.1,13.1,14.7,16.5,9.4,6.2,2.9,0.4,35061.0,47186.0
51,90061,Los Angeles,Los Angeles,7238,14.3,10.5,14.2,10.1,13.7,17.6,9.8,6.7,2.8,0.4,36094.0,47263.0
52,90062,Los Angeles,Los Angeles,9550,11.1,10.6,14.3,12.1,16.1,16.7,11.5,5.8,0.9,0.8,37293.0,49048.0
53,90063,Los Angeles,Los Angeles,13590,6.9,8.1,14.8,11.9,16.6,19.5,10.9,7.9,2.0,1.5,41267.0,53426.0
54,90064,Los Angeles,Los Angeles,10947,7.4,2.0,5.7,6.6,9.3,11.0,11.6,14.4,9.1,23.0,92626.0,142961.0
55,90065,Los Angeles,Los Angeles,14993,6.0,5.8,10.4,11.4,12.7,17.0,10.2,13.0,5.4,8.1,54796.0,80776.0
