,Zip Code,City,County,Households,<10k,10k - 15k,15k - 25k,25k - 35k,35k - 50k,50k - 75k,75k - 100k,100k - 150k,150k - 200k,200k+,Median Income ($),Mean Income ($),FIPS,State
330,92673,San Clemente,Orange,10208,1.7,0.9,3.7,4.7,6.3,9.5,8.8,18.2,15.3,30.8,136776.0,171937.0,6059,CA
331,92675,San Juan Capistrano,Orange,12087,4.0,3.9,8.5,7.5,8.8,14.9,13.2,14.9,9.2,15.1,80120.0,119545.0,6059,CA
332,92676,Silverado,Orange,849,2.4,0.5,3.4,6.2,9.4,11.2,15.4,14.8,13.0,23.7,100919.0,128655.0,6059,CA
333,92677,Laguna Niguel,Orange,25118,3.3,1.8,5.1,5.7,9.2,14.9,11.0,18.1,12.0,19.1,97059.0,132382.0,6059,CA
334,92678,Trabuco Canyon,Orange,217,0.0,2.3,6.0,4.1,18.9,13.8,22.6,9.7,12.0,10.6,82386.0,104493.0,6059,CA
335,92679,Trabuco Canyon,Orange,10685,1.5,0.5,2.4,1.6,5.3,8.9,8.2,19.7,17.8,34.2,153531.0,191735.0,6059,CA
336,92683,Westminster,Orange,27274,6.0,6.1,11.4,9.0,13.2,16.5,11.9,14.2,6.7,5.1,55224.0,75339.0,6059,CA
337,92688,Rancho Santa Margarita,Orange,15947,2.3,2.8,5.5,4.6,7.3,15.5,12.3,22.4,14.7,12.6,99342.0,117094.0,6059,CA
338,92691,Mission Viejo,Orange,16461,3.0,1.6,4.5,6.3,6.6,12.7,14.6,23.0,14.3,13.2,100956.0,117653.0,6059,CA
339,92692,Mission Viejo,Orange,18052,3.1,2.1,4.6,5.4,5.8,12.2,12.9,22.7,12.6,18.5,106797.0,129737.0,6059,CA
340,92694,Ladera Ranch,Orange,7433,2.4,0.3,1.5,2.2,5.6,6.1,11.1,22.3,15.2,33.4,145148.0,187813.0,6059,CA
341,92701,Santa Ana,Orange,12709,5.8,6.4,19.0,13.6,17.4,18.5,9.9,6.6,1.7,1.1,39348.0,49555.0,6059,CA
342,92703,Santa Ana,Orange,13358,4.7,5.2,10.7,12.3,16.2,21.6,12.6,10.7,3.4,2.7,50692.0,63661.0,6059,CA
343,92704,Santa Ana,Orange,19793,3.6,3.3,7.8,11.2,13.0,23.0,13.1,16.0,5.8,3.1,60867.0,75744.0,6059,CA
344,92705,Santa Ana,Orange,15137,1.4,2.5,6.6,6.8,10.4,15.2,12.2,15.1,10.5,19.2,87782.0,136399.0,6059,CA
345,92706,Santa Ana,Orange,9197,3.8,3.7,9.5,13.0,13.0,17.9,12.0,13.4,6.8,6.9,58623.0,80146.0,6059,CA
