City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Number of Bedrooms
Newport Beach,92661,2112100.0,2008600.0,2000000.0,2067600.0,2546800.0,2914100.0,3010700,3164800,3325700,3510600,2730450.0,4
Newport Beach,92662,2003900.0,1910700.0,1800400.0,1932100.0,2202200.0,2647100.0,2751600,2856500,2878400,2912300,2424650.0,4
Newport Beach,92663,1611800.0,1582800.0,1599200.0,1563900.0,1746700.0,2043100.0,2115400,2322800,2473400,2640900,1894900.0,4
Newport Coast,92657,2005400.0,1944300.0,1861100.0,1899800.0,2203400.0,2499200.0,2624700,2785400,2936300,3064800,2351300.0,4
North Tustin,92705,730800.0,735600.0,702300.0,665900.0,718200.0,816800.0,830100,874200,913500,1004800,776200.0,4
Orange,92865,485600.0,461900.0,448800.0,427800.0,475000.0,554600.0,569400,611900,651200,688000,520100.0,4
Orange,92866,491900.0,485800.0,460900.0,445700.0,488600.0,576500.0,573700,621300,676900,715900,532800.0,4
Orange,92867,560400.0,557000.0,537200.0,505300.0,565700.0,645700.0,663800,686100,729800,771000,605700.0,4
Orange,92868,433800.0,391900.0,389900.0,381300.0,422700.0,480800.0,516200,568700,584800,645500,457300.0,4
Orange,92869,605900.0,599200.0,593900.0,538200.0,585400.0,676200.0,693900,735400,759600,805000,641050.0,4
Placentia,92870,536200.0,522300.0,503900.0,482500.0,512200.0,585300.0,619100,659900,688900,720200,560750.0,4
Rancho Santa Margarita,92688,588600.0,571100.0,547600.0,510400.0,568000.0,668200.0,676500,714200,741500,787200,628400.0,4
San Clemente,92624,922300.0,846000.0,757000.0,691100.0,757900.0,872900.0,926600,986700,1112000,1202000,897600.0,4
San Clemente,92672,810100.0,777200.0,728600.0,701100.0,762700.0,883300.0,887500,975300,1019600,1163700,846700.0,4
San Clemente,92673,763000.0,715900.0,694100.0,651600.0,733200.0,824500.0,853200,894900,911300,975500,793750.0,4
San Juan Capistrano,92675,784100.0,718200.0,727400.0,668400.0,744600.0,834900.0,822100,882200,936700,1006300,803100.0,4
Santa Ana,92701,414900.0,337600.0,356600.0,338200.0,381600.0,425400.0,476400,513300,559900,602100,420150.0,4
Santa Ana,92703,386500.0,325900.0,325500.0,317300.0,360500.0,423600.0,430100,469100,504800,547800,405050.0,4
Santa Ana,92704,431100.0,377300.0,362700.0,357500.0,395200.0,438000.0,489400,530500,558600,592400,434550.0,4
Santa Ana,92706,463400.0,425900.0,419100.0,396100.0,428100.0,506700.0,540000,573900,612100,667500,485050.0,4
Santa Ana,92707,410900.0,326500.0,332100.0,321500.0,374900.0,435500.0,456600,493500,536300,580700,423200.0,4
Seal Beach,90740,710000.0,713700.0,692000.0,665800.0,759700.0,810500.0,790000,859500,911800,906800,774850.0,4
Stanton,90680,404200.0,378100.0,363600.0,353900.0,380300.0,429800.0,453800,491800,524600,562900,417000.0,4
Tustin,92780,533000.0,526300.0,498900.0,481400.0,549000.0,610800.0,628700,685800,719500,744900,579900.0,4
Tustin,92782,790000.0,804800.0,793200.0,769900.0,853900.0,950800.0,937700,1004200,1037300,1081900,895800.0,4
Villa Park,92861,951900.0,881800.0,851400.0,772100.0,940200.0,1056300.0,1081700,1136300,1208400,1229400,1004100.0,4
Westminster,92655,442600.0,416300.0,399000.0,385800.0,425100.0,480200.0,509000,543300,600300,642500,461400.0,4
Westminster,92683,513000.0,511000.0,463100.0,457300.0,479300.0,558800.0,568300,635400,657900,693200,535900.0,4
Yorba Linda,92886,663400.0,627800.0,621500.0,595900.0,636300.0,741600.0,753200,792800,816100,868400,702500.0,4
Yorba Linda,92887,737400.0,721400.0,679400.0,678500.0,722900.0,843300.0,856300,885300,911300,954400,790350.0,4
