City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Number of Bedrooms
Aliso Viejo,92656,821700.0,830900.0,807600.0,782300.0,814200.0,956700.0,961300,1038700,1065700,1129200,893800.0,5
Anaheim,92801,459700.0,419500.0,409700.0,386000.0,439100.0,499700.0,520900,569300,598200,659600,479700.0,5
Anaheim,92802,482600.0,442700.0,420700.0,412500.0,446000.0,526400.0,548100,596000,631500,682300,504500.0,5
Anaheim,92804,490100.0,444900.0,437400.0,422000.0,458400.0,527100.0,546800,606500,634000,669000,508600.0,5
Anaheim,92805,458600.0,418500.0,400000.0,385900.0,436100.0,508300.0,539200,568500,610700,664200,483450.0,5
Anaheim,92806,517500.0,468000.0,455200.0,434000.0,471700.0,536600.0,580800,602900,629800,698000,527050.0,5
Anaheim,92807,772400.0,755100.0,687700.0,666700.0,715300.0,802200.0,850600,905000,924400,940100,787300.0,5
Anaheim,92808,912000.0,852200.0,806300.0,814800.0,886800.0,985400.0,1044400,1109800,1077500,1121000,948700.0,5
Brea,92821,646300.0,632300.0,585000.0,554700.0,606100.0,702400.0,717600,741500,776700,824100,674350.0,5
Brea,92823,807600.0,789800.0,736100.0,733000.0,774000.0,926500.0,941800,955700,994000,1031400,867050.0,5
Buena Park,90620,467500.0,456600.0,439600.0,424900.0,447900.0,530100.0,551100,591300,616000,667800,498800.0,5
Buena Park,90621,660100.0,630000.0,585100.0,598000.0,619400.0,695000.0,737200,797400,816300,854000,677550.0,5
Costa Mesa,92626,682800.0,680000.0,629300.0,604500.0,689600.0,766300.0,805400,864400,876500,939100,727950.0,5
Costa Mesa,92627,818300.0,778000.0,761800.0,771600.0,839100.0,997100.0,983300,1096700,1194500,1242600,911200.0,5
Coto de Caza,92679,1128200.0,1038700.0,910500.0,885400.0,972400.0,1138200.0,1182200,1227000,1272100,1295400,1133200.0,5
Cypress,90630,591200.0,575300.0,568300.0,530600.0,571600.0,625100.0,668400,691400,720000,766200,608150.0,5
Dana Point,92629,1628700.0,1584200.0,1536200.0,1607400.0,1608300.0,2025800.0,2006800,2247300,2383200,2571300,1817750.0,5
Fountain Valley,92708,670500.0,668600.0,656100.0,600400.0,665600.0,728000.0,760200,814600,846400,885400,699250.0,5
Fullerton,92831,782200.0,754600.0,721600.0,698700.0,751900.0,851500.0,874400,925400,961100,983800,816850.0,5
Fullerton,92832,616000.0,559100.0,565500.0,544500.0,575100.0,616100.0,656100,721300,733300,783400,616050.0,5
Fullerton,92833,702300.0,688100.0,669900.0,625300.0,671800.0,744200.0,769000,804900,852400,884200,723250.0,5
Fullerton,92835,835300.0,802900.0,808200.0,749700.0,808400.0,919100.0,991900,1018900,1062200,1132600,877200.0,5
Garden Grove,92840,465600.0,430500.0,409600.0,396100.0,441900.0,512300.0,540400,578500,625000,666900,488950.0,5
Garden Grove,92841,494800.0,462900.0,448500.0,428700.0,464100.0,521900.0,543600,615300,657800,710600,508350.0,5
Garden Grove,92843,479400.0,446300.0,426500.0,407100.0,431600.0,508300.0,540500,571900,633900,656100,493850.0,5
Garden Grove,92844,477200.0,463400.0,445800.0,422400.0,448200.0,526300.0,535400,611600,658100,700400,501750.0,5
Garden Grove,92845,552400.0,550400.0,526700.0,479600.0,518300.0,571900.0,609000,659200,680600,719800,562150.0,5
Huntington Beach,92646,721000.0,711700.0,713700.0,695100.0,720400.0,803100.0,805600,879000,907400,968700,762050.0,5
Huntington Beach,92647,655500.0,656600.0,623000.0,599600.0,680900.0,761500.0,748300,793800,832100,869400,714600.0,5
Huntington Beach,92648,1304900.0,1325400.0,1310600.0,1345600.0,1326400.0,1473900.0,1453800,1541400,1586700,1763800,1399700.0,5
Huntington Beach,92649,1383500.0,1395500.0,1371000.0,1450500.0,1507400.0,1459900.0,1598500,1797100,1915100,1999300,1483650.0,5
Irvine,92602,1035600.0,987500.0,962900.0,943100.0,1018100.0,1179000.0,1232500,1322500,1310700,1344600,1107300.0,5
Irvine,92603,1623600.0,1610100.0,1629300.0,1682600.0,1971500.0,2356300.0,2511200,2671100,2770400,2880500,2163900.0,5
Irvine,92604,753800.0,754400.0,742200.0,728100.0,787400.0,904800.0,943800,949200,974100,1115200,846100.0,5
Irvine,92606,821500.0,843000.0,863700.0,853200.0,933700.0,1086700.0,1106900,1143100,1220100,1227600,1010200.0,5
Irvine,92612,812400.0,814700.0,798500.0,737800.0,854400.0,966100.0,1043700,1053000,1142000,1178200,910250.0,5
Irvine,92614,671500.0,737200.0,680600.0,702300.0,728600.0,814100.0,863300,896100,922600,981700,775650.0,5
Irvine,92618,1211200.0,1207000.0,1089300.0,1140000.0,1273300.0,1405700.0,1503500,1646100,1712700,1725200,1339500.0,5
Irvine,92620,1049100.0,1046800.0,1021100.0,1012800.0,1116300.0,1279300.0,1303600,1384000,1371800,1445100,1197800.0,5
La Habra,90631,734900.0,703400.0,701500.0,671500.0,721600.0,828900.0,806800,844400,897700,930600,770850.0,5
La Palma,90623,582400.0,605700.0,573700.0,526000.0,593200.0,633100.0,642600,694800,732200,770700,619400.0,5
Ladera Ranch,92694,948700.0,870400.0,846100.0,809800.0,923200.0,1036800.0,1062800,1101500,1128700,1203200,992750.0,5
Laguna Beach,92651,3012100.0,3052900.0,3070700.0,3029500.0,3277400.0,3837700.0,3943200,4180000,4403300,4658300,3557550.0,5
Laguna Hills,92653,1274900.0,1245700.0,1114700.0,1089400.0,1089900.0,1275900.0,1321800,1384000,1452000,1422600,1275400.0,5
Laguna Niguel,92677,1063800.0,968500.0,883900.0,857400.0,942200.0,1092200.0,1150500,1224500,1255400,1322400,1078000.0,5
Lake Forest,92610,735800.0,714700.0,672900.0,655400.0,706300.0,821100.0,826500,866900,890900,937200,778450.0,5
Lake Forest,92630,634100.0,596100.0,557100.0,547300.0,618400.0,703700.0,724000,762500,770300,838700,668900.0,5
Los Alamitos,90720,833500.0,829400.0,806900.0,803000.0,888800.0,994000.0,959000,1069400,1168000,1193700,923900.0,5
Mission Viejo,92691,623800.0,593300.0,581200.0,564200.0,620000.0,688800.0,735200,774500,794900,845300,656300.0,5
Mission Viejo,92692,750000.0,736700.0,704800.0,689600.0,729600.0,833400.0,837600,882900,932600,963200,791700.0,5
Newport Beach,92625,2208500.0,2141800.0,2080800.0,2047000.0,2355500.0,2764900.0,2923600,3263600,3309400,3575500,2560200.0,5
Newport Beach,92660,1800100.0,1753700.0,1696000.0,1644800.0,1927700.0,2318100.0,2418200,2538900,2655100,2783000,2122900.0,5
Newport Beach,92661,3074000.0,3073000.0,3151000.0,3367400.0,3823200.0,4216400.0,4474400,4728600,4859900,4864500,4019800.0,5
Newport Beach,92663,2192900.0,2110800.0,2106700.0,2112500.0,2366300.0,2799000.0,2913900,3207200,3200600,3357600,2582650.0,5
Newport Coast,92657,3601500.0,3606200.0,3494700.0,3517900.0,4116400.0,4622100.0,4731300,5013600,5292500,5566600,4369250.0,5
North Tustin,92705,1124300.0,1052100.0,912200.0,843900.0,929600.0,1059700.0,1100900,1174200,1229400,1303000,1080300.0,5
Orange,92865,555600.0,541200.0,514100.0,456400.0,516600.0,606100.0,640700,663600,693800,736500,580850.0,5
Orange,92867,778200.0,739600.0,710000.0,703200.0,748600.0,826400.0,854700,893800,919800,964300,802300.0,5
Orange,92869,763200.0,719900.0,682400.0,682300.0,724800.0,794500.0,844200,853200,877100,949600,778850.0,5
