City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Type
Newport Beach,92660,1327100.0,1301500.0,1176600.0,1195200.0,1342900.0,1576500.0,1678800,1819000,1907000,2064300,1459700.0,SFR
Newport Beach,92661,1855800.0,1768400.0,1666100.0,1708700.0,2029600.0,2397600.0,2583900,2585700,2666400,3024600,2213600.0,SFR
Newport Beach,92662,1901200.0,1838700.0,1699600.0,1698000.0,1997400.0,2359300.0,2393800,2548000,2640300,2739800,2178350.0,SFR
Newport Beach,92663,1483000.0,1456600.0,1455500.0,1445600.0,1486900.0,1862900.0,1963600,2168600,2331100,2449000,1674900.0,SFR
Newport Coast,92657,2151900.0,2089400.0,2102900.0,2096700.0,2345300.0,2742400.0,2838100,3011900,3167100,3367000,2543850.0,SFR
North Tustin,92705,714700.0,719600.0,670100.0,648000.0,698500.0,788400.0,813100,849500,881200,960700,754000.0,SFR
Orange,92865,470700.0,454700.0,442500.0,423500.0,467500.0,549900.0,557700,595100,640600,674300,510300.0,SFR
Orange,92866,481300.0,453400.0,447000.0,447400.0,483000.0,549500.0,570600,625700,667900,694600,516250.0,SFR
Orange,92867,515400.0,504200.0,488100.0,450100.0,495200.0,585800.0,604100,643200,681800,727100,550600.0,SFR
Orange,92868,389600.0,355300.0,352100.0,327800.0,375100.0,441600.0,466400,491100,540100,581800,415600.0,SFR
Orange,92869,590800.0,579500.0,573000.0,524400.0,579500.0,660200.0,674900,711300,738800,789100,625500.0,SFR
Placentia,92870,516200.0,502500.0,481400.0,461800.0,500400.0,567500.0,602700,644000,669300,692500,541850.0,SFR
Rancho Santa Margarita,92688,539600.0,530600.0,505700.0,485100.0,531000.0,632900.0,645100,670200,704000,746400,586250.0,SFR
San Clemente,92624,734000.0,690700.0,592300.0,536700.0,602000.0,706300.0,770000,864700,914200,992700,720150.0,SFR
San Clemente,92672,745000.0,719500.0,643400.0,629400.0,666100.0,801300.0,813400,898800,934000,1004000,773150.0,SFR
San Clemente,92673,767900.0,725800.0,700200.0,659700.0,738400.0,831200.0,858100,897300,911800,976400,799550.0,SFR
San Juan Capistrano,92675,666300.0,621200.0,555400.0,530800.0,598000.0,684500.0,710600,765300,805500,856500,675400.0,SFR
Santa Ana,92701,360200.0,279500.0,299000.0,307400.0,326800.0,393200.0,402500,436800,470300,525400,376700.0,SFR
Santa Ana,92703,346500.0,284900.0,294800.0,286600.0,329300.0,378500.0,403400,440100,464000,513900,362500.0,SFR
Santa Ana,92704,389200.0,332200.0,332800.0,327100.0,365800.0,410000.0,426300,475400,507800,566200,399600.0,SFR
Santa Ana,92706,429300.0,386000.0,365100.0,362400.0,397600.0,479700.0,511400,541500,585100,639500,454500.0,SFR
Santa Ana,92707,356000.0,280200.0,296700.0,290500.0,327000.0,387400.0,406300,441100,464400,501500,371700.0,SFR
Seal Beach,90740,731200.0,741400.0,725200.0,717700.0,759200.0,819800.0,867500,889100,959300,1009900,789500.0,SFR
Silverado,92676,527700.0,491200.0,433000.0,421900.0,454200.0,533200.0,526100,538700,626000,666700,526900.0,SFR
Stanton,90680,353900.0,328900.0,321900.0,316200.0,341600.0,391600.0,404100,453500,492100,521700,372750.0,SFR
Tustin,92780,503100.0,483600.0,472100.0,447600.0,494100.0,582500.0,596800,651100,680900,709900,542800.0,SFR
Tustin,92782,789500.0,800200.0,786400.0,779700.0,855900.0,946700.0,929800,1003200,1043400,1084400,892850.0,SFR
Villa Park,92861,1040300.0,939500.0,874700.0,823500.0,971800.0,1119400.0,1112200,1193800,1226800,1280900,1076250.0,SFR
Westminster,92655,413200.0,396800.0,379200.0,350000.0,393400.0,442600.0,483600,527700,561200,625600,427900.0,SFR
Westminster,92683,451300.0,435600.0,420100.0,407100.0,434500.0,501100.0,525800,563400,595900,647700,476200.0,SFR
Yorba Linda,92886,637100.0,604400.0,592900.0,548400.0,615500.0,701400.0,716300,759400,789300,844500,669250.0,SFR
Yorba Linda,92887,715900.0,701900.0,652200.0,642700.0,703900.0,796300.0,824000,854400,884500,928600,756100.0,SFR
