City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Type
Mission Viejo,92691,614400.0,586900.0,565500.0,545000.0,609500.0,686600.0,716800,751000,779100,817400,650500.0,TopTier
Mission Viejo,92692,717300.0,715200.0,692900.0,657200.0,700700.0,810300.0,821400,871700,890800,936300,763800.0,TopTier
Newport Beach,92625,2434800.0,2433600.0,2304900.0,2235600.0,2605400.0,3126000.0,3353200,3651800,3996800,4223400,2865700.0,TopTier
Newport Beach,92660,1922500.0,1869500.0,1784900.0,1761500.0,2036600.0,2446700.0,2571100,2719000,2839000,2981000,2241650.0,TopTier
Newport Beach,92661,3097900.0,3085600.0,3187400.0,3329400.0,3789500.0,4229300.0,4518700,4773500,4906000,5207200,4009400.0,TopTier
Newport Beach,92662,2299500.0,2298600.0,2329600.0,2350900.0,2608800.0,3134600.0,3258100,3356500,3344400,3513100,2871700.0,TopTier
Newport Beach,92663,2072300.0,2009500.0,2016300.0,1935800.0,2197100.0,2619400.0,2667400,2944900,3057400,3202300,2408250.0,TopTier
Newport Coast,92657,3557300.0,3542000.0,3530800.0,3518500.0,4059500.0,4589200.0,4673100,5002100,5303600,5596800,4324350.0,TopTier
North Tustin,92705,1161600.0,1093000.0,936100.0,880400.0,960600.0,1055500.0,1146900,1227500,1259900,1317300,1119950.0,TopTier
Orange,92865,515400.0,496000.0,486000.0,444200.0,486600.0,576800.0,604900,645600,675800,714700,546100.0,TopTier
Orange,92866,520800.0,514700.0,484200.0,475500.0,538200.0,605100.0,602100,673600,717300,740400,570150.0,TopTier
Orange,92867,765500.0,738500.0,697800.0,677600.0,737900.0,831200.0,840900,883900,915300,963000,798350.0,TopTier
Orange,92868,434200.0,391900.0,382700.0,373400.0,425400.0,479400.0,507200,554700,581400,637400,456800.0,TopTier
Orange,92869,748800.0,694600.0,683200.0,672200.0,716300.0,792300.0,829300,859100,886600,933300,770550.0,TopTier
Placentia,92870,609800.0,607900.0,571900.0,537500.0,580700.0,662400.0,689600,722900,754600,784400,636100.0,TopTier
Rancho Santa Margarita,92688,631000.0,609900.0,579300.0,538600.0,597000.0,703700.0,721300,747800,782000,819800,667350.0,TopTier
San Clemente,92672,1224800.0,1083400.0,926400.0,852600.0,918800.0,1050200.0,1243800,1339500,1424800,1417500,1154100.0,TopTier
