City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Number of Bedrooms
Aliso Viejo,92656,351800.0,329000.0,313600.0,272300.0,310200.0,393900.0,394600,419900,447900,476000,372850.0,2
Anaheim,92801,282300.0,252400.0,251100.0,229100.0,245100.0,291000.0,326200,354400,382500,402100,286650.0,2
Anaheim,92802,304400.0,280700.0,270300.0,248200.0,254500.0,325400.0,354400,380400,403300,422300,314900.0,2
Anaheim,92804,267100.0,233400.0,233200.0,215900.0,228500.0,284200.0,299200,319300,356600,376400,275650.0,2
Anaheim,92805,329300.0,285200.0,294400.0,271200.0,300700.0,348200.0,375000,404400,442300,467500,338750.0,2
Anaheim,92806,298600.0,256500.0,260600.0,229600.0,246400.0,305300.0,326900,355500,389200,419400,301950.0,2
Anaheim,92807,368800.0,332100.0,322500.0,313100.0,332200.0,377400.0,404700,457300,475000,486500,373100.0,2
Anaheim,92808,346800.0,335200.0,324000.0,287600.0,324200.0,389600.0,398400,430400,443400,477000,368200.0,2
Brea,92821,373200.0,331800.0,317200.0,302500.0,349500.0,423300.0,425600,445400,471400,518600,398250.0,2
Buena Park,90620,366300.0,339400.0,334700.0,312400.0,337600.0,397400.0,425600,454500,478600,523800,381850.0,2
Buena Park,90621,314300.0,256100.0,268000.0,263800.0,285300.0,335900.0,379600,396600,429800,466000,325100.0,2
Costa Mesa,92626,351200.0,331200.0,329200.0,297300.0,311000.0,373100.0,397500,427200,465800,498100,362150.0,2
Costa Mesa,92627,460500.0,424800.0,412900.0,394900.0,434000.0,514900.0,564700,606000,647400,683600,487700.0,2
Coto de Caza,92679,339600.0,312500.0,290800.0,256500.0,286400.0,360800.0,387200,406600,431400,462600,350200.0,2
Cypress,90630,343800.0,343800.0,304400.0,279600.0,299600.0,357300.0,374800,402900,422800,458900,350550.0,2
Dana Point,92629,550400.0,520400.0,462600.0,428200.0,489500.0,572300.0,607900,648700,697000,751200,561350.0,2
Fountain Valley,92708,345900.0,320900.0,300700.0,280500.0,314400.0,345200.0,365100,401200,443300,469000,345550.0,2
Fullerton,92831,324900.0,292400.0,272000.0,251400.0,264400.0,330300.0,350600,382400,404900,443800,327600.0,2
Fullerton,92832,363600.0,323100.0,313300.0,283400.0,334200.0,399600.0,427200,439900,475600,524400,381600.0,2
