City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Type
Newport Beach,92663,559700.0,515400.0,518200.0,523700.0,542100.0,602700.0,646100,677600,774700,815900,581200.0,CONDO
Newport Coast,92657,958000.0,861600.0,775200.0,858400.0,872400.0,993300.0,1098900,1256000,1240100,1245800,975650.0,CONDO
North Tustin,92705,243200.0,187800.0,184800.0,170300.0,185800.0,234500.0,261800,300900,324600,352600,238850.0,CONDO
Orange,92865,356000.0,361100.0,338400.0,291200.0,329000.0,350500.0,392600,408800,437500,455900,358550.0,CONDO
Orange,92867,416600.0,398400.0,394800.0,359100.0,356100.0,435300.0,476000,512000,522700,567600,425950.0,CONDO
Orange,92868,222400.0,164500.0,190700.0,173200.0,172500.0,203600.0,250200,267500,298700,344900,213000.0,CONDO
Orange,92869,342700.0,318000.0,307900.0,280600.0,288500.0,354600.0,376100,409900,423200,460500,348650.0,CONDO
Placentia,92870,345400.0,332100.0,291800.0,279000.0,297200.0,363400.0,378400,420100,431200,452000,354400.0,CONDO
Rancho Santa Margarita,92688,328600.0,309300.0,292800.0,261500.0,284200.0,369700.0,386800,403800,428400,466300,349150.0,CONDO
San Clemente,92624,494600.0,479900.0,471000.0,438200.0,447600.0,506700.0,546400,622700,656700,682700,500650.0,CONDO
San Clemente,92672,503600.0,437200.0,451800.0,447700.0,444800.0,555500.0,529000,614200,631900,651100,516300.0,CONDO
San Clemente,92673,505700.0,451800.0,420500.0,399600.0,433200.0,532000.0,545300,578700,605400,634100,518850.0,CONDO
San Juan Capistrano,92675,,,,,287700.0,293900.0,383100,383500,452900,445100,383300.0,CONDO
Santa Ana,92701,179200.0,115100.0,112000.0,113600.0,129800.0,176500.0,190500,208200,230300,262400,177850.0,CONDO
Santa Ana,92703,221100.0,161600.0,142600.0,155300.0,171700.0,220900.0,230400,260700,289100,336600,221000.0,CONDO
Santa Ana,92704,215000.0,162600.0,165400.0,153900.0,169100.0,222800.0,241200,267500,288900,323500,218900.0,CONDO
Santa Ana,92706,195200.0,137700.0,147400.0,141900.0,150000.0,210500.0,233300,269800,271400,299100,202850.0,CONDO
Santa Ana,92707,219100.0,151700.0,164200.0,152200.0,172200.0,226900.0,243000,292400,307600,328800,223000.0,CONDO
Seal Beach,90740,307400.0,280500.0,275200.0,224600.0,241000.0,297200.0,318800,342200,358100,396300,302300.0,CONDO
Stanton,90680,272000.0,241400.0,226400.0,214200.0,229100.0,274400.0,300000,323800,344700,380300,273200.0,CONDO
Tustin,92780,258700.0,202200.0,185400.0,183800.0,210200.0,271500.0,286100,320000,334800,370700,265100.0,CONDO
Tustin,92782,420500.0,416000.0,402600.0,379200.0,400400.0,483500.0,501700,525100,549100,587100,452000.0,CONDO
Westminster,92655,264800.0,228400.0,234900.0,226300.0,248600.0,290200.0,316200,330100,354400,392800,277500.0,CONDO
Westminster,92683,334200.0,297800.0,300800.0,251500.0,294900.0,336500.0,350600,384100,403400,463400,335350.0,CONDO
Yorba Linda,92886,323500.0,297000.0,270300.0,238700.0,267800.0,350100.0,365400,398700,406300,446600,336800.0,CONDO
Yorba Linda,92887,313800.0,288400.0,284000.0,234700.0,261900.0,337800.0,362200,387500,406000,421600,325800.0,CONDO
