City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Number of Bedrooms
Aliso Viejo,92656,467300.0,455600.0,436600.0,408500.0,437500.0,533000.0,552400,581300,610500,648400,500150.0,3
Anaheim,92801,361100.0,329300.0,329000.0,314800.0,347200.0,404700.0,429900,452100,490000,531000,382900.0,3
Anaheim,92802,385500.0,344300.0,342400.0,334800.0,364100.0,422000.0,441100,476900,520000,558800,403750.0,3
Anaheim,92804,387000.0,348600.0,345600.0,336900.0,367000.0,426200.0,449500,486900,521600,563200,406600.0,3
Anaheim,92805,368900.0,325000.0,325400.0,311200.0,341900.0,403900.0,426800,454000,489000,531700,386400.0,3
Anaheim,92806,411200.0,378000.0,374300.0,358600.0,395700.0,454200.0,479200,513200,564200,585200,432700.0,3
Anaheim,92807,482800.0,464600.0,445800.0,426900.0,457100.0,532700.0,554900,598600,626700,657300,507750.0,3
Anaheim,92808,541300.0,524100.0,515900.0,476100.0,522300.0,606200.0,642800,662800,701000,736500,573750.0,3
Brea,92821,483600.0,477400.0,441400.0,417200.0,463900.0,528500.0,550600,595100,633300,666000,506050.0,3
Brea,92823,502900.0,508100.0,478100.0,464000.0,481100.0,553900.0,586800,624200,669200,708200,531000.0,3
Buena Park,90620,381200.0,361800.0,356600.0,345300.0,374500.0,432800.0,450400,496700,524900,565300,407000.0,3
Buena Park,90621,400700.0,370200.0,352700.0,328100.0,358800.0,420400.0,450900,479000,521300,558100,410550.0,3
Costa Mesa,92626,505300.0,501900.0,487500.0,467800.0,507000.0,596100.0,631000,676100,721900,758100,551550.0,3
Costa Mesa,92627,516000.0,499600.0,477300.0,451600.0,535300.0,616900.0,653700,684700,731000,775600,576100.0,3
Coto de Caza,92679,645900.0,621000.0,592100.0,552800.0,603500.0,712800.0,738600,768700,790800,845400,679350.0,3
Cypress,90630,442300.0,429700.0,421400.0,397300.0,435700.0,481200.0,506600,552900,579000,618600,461750.0,3
Dana Point,92629,758100.0,736500.0,681700.0,643900.0,716500.0,824000.0,819700,905400,936800,1002600,788900.0,3
Fountain Valley,92708,524400.0,528900.0,514400.0,500000.0,544100.0,609400.0,630400,660700,696400,742700,576750.0,3
Fullerton,92831,468600.0,462500.0,421700.0,405500.0,430400.0,514700.0,541500,582000,608400,655100,491650.0,3
