City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Number of Bedrooms
Fullerton,92832,372100.0,333200.0,330200.0,316900.0,358700.0,423100.0,443000,467800,506800,541800,397600.0,3
Fullerton,92833,397400.0,358900.0,355400.0,347000.0,380300.0,440100.0,463100,499100,528300,570700,418750.0,3
Fullerton,92835,561000.0,552300.0,528800.0,496900.0,541000.0,619800.0,625300,667000,696900,749400,590400.0,3
Garden Grove,92840,384600.0,358100.0,355500.0,340500.0,377800.0,427900.0,450200,483600,527900,571400,406250.0,3
Garden Grove,92841,399900.0,372800.0,363700.0,351600.0,386500.0,447100.0,464900,514500,542500,586900,423500.0,3
Garden Grove,92843,381400.0,357300.0,349300.0,340700.0,375600.0,420400.0,447500,483100,513100,560400,400900.0,3
Garden Grove,92844,380700.0,362200.0,353000.0,333300.0,373900.0,414400.0,443100,473300,507700,552800,397550.0,3
Garden Grove,92845,467300.0,469600.0,440400.0,414000.0,441400.0,501400.0,523400,582400,622500,653100,485500.0,3
Huntington Beach,92646,547400.0,556900.0,521400.0,502900.0,565800.0,639200.0,649600,683000,726100,770000,602500.0,3
Huntington Beach,92647,515200.0,521100.0,500800.0,458900.0,501200.0,582400.0,599400,642600,667100,714900,551750.0,3
Huntington Beach,92648,746800.0,729400.0,688000.0,657100.0,719800.0,793400.0,841700,875600,915700,955500,770100.0,3
Huntington Beach,92649,597300.0,599600.0,555700.0,524500.0,582600.0,645900.0,666700,718000,730000,780400,622750.0,3
Irvine,92602,595200.0,610500.0,600700.0,572300.0,612900.0,698400.0,716800,747700,759300,805300,655650.0,3
Irvine,92603,714300.0,729100.0,693500.0,682200.0,753200.0,857000.0,901100,929400,942800,971300,805100.0,3
Irvine,92604,520700.0,535300.0,528600.0,508600.0,539600.0,650900.0,662200,700700,728700,749100,595250.0,3
Irvine,92606,533700.0,542900.0,542500.0,509600.0,568700.0,661700.0,657800,697300,715800,760200,613250.0,3
Irvine,92612,571700.0,571900.0,551600.0,544600.0,599900.0,697900.0,710200,754300,776200,817200,648900.0,3
Irvine,92614,547100.0,553300.0,551400.0,513500.0,585300.0,657800.0,675300,696600,737500,775200,621550.0,3
Irvine,92618,586600.0,603200.0,585700.0,554100.0,616900.0,711100.0,730700,776500,787500,826800,664000.0,3
Irvine,92620,579900.0,584800.0,563300.0,556900.0,607300.0,701300.0,726700,776600,783400,823400,654300.0,3
La Habra,90631,393200.0,370600.0,361800.0,351200.0,381000.0,440600.0,461500,504500,537900,580700,416900.0,3
La Palma,90623,489800.0,491900.0,452200.0,417200.0,456600.0,537400.0,538700,573800,609400,659000,514650.0,3
Ladera Ranch,92694,479600.0,457500.0,435300.0,407500.0,441600.0,552900.0,569100,608500,624500,659100,516250.0,3
Laguna Beach,92651,1559700.0,1547600.0,1529700.0,1584300.0,1699300.0,1944500.0,1968400,2113200,2232200,2343400,1821900.0,3
Laguna Hills,92653,455600.0,448200.0,439200.0,405600.0,450100.0,526900.0,539100,596700,614000,658100,491250.0,3
Laguna Niguel,92677,592700.0,567700.0,548600.0,528300.0,568800.0,667000.0,692300,736800,752700,802400,629850.0,3
Laguna Woods,92637,422800.0,409500.0,352200.0,364400.0,370500.0,472700.0,525300,526300,570300,574900,447750.0,3
Lake Forest,92610,535000.0,521100.0,523600.0,487300.0,517700.0,604500.0,624600,665300,694800,731700,569750.0,3
Lake Forest,92630,474700.0,455500.0,441600.0,421000.0,465300.0,562500.0,574600,620900,637700,677200,518600.0,3
Los Alamitos,90720,673700.0,666500.0,667300.0,659600.0,709200.0,775600.0,800800,844700,865400,923800,742400.0,3
Mission Viejo,92691,494400.0,479300.0,458800.0,429800.0,477300.0,569100.0,591400,628700,654100,699600,531750.0,3
Mission Viejo,92692,533500.0,520800.0,498600.0,459000.0,522600.0,611200.0,626900,661100,694700,715500,572350.0,3
Newport Beach,92625,1564600.0,1542000.0,1511200.0,1522800.0,1709300.0,2022200.0,2090400,2186400,2348900,2478000,1865750.0,3
Newport Beach,92660,987800.0,875300.0,832600.0,855300.0,954600.0,1189200.0,1243300,1311700,1332400,1500300,1088500.0,3
Newport Beach,92661,1768700.0,1717000.0,1614900.0,1624400.0,1841000.0,2109300.0,2329500,2414000,2528500,2826400,1975150.0,3
Newport Beach,92662,1891100.0,1816100.0,1710500.0,1716100.0,2037400.0,2438600.0,2417600,2603800,2658900,2804800,2227500.0,3
Newport Beach,92663,1192700.0,1078600.0,941200.0,990000.0,995400.0,1231400.0,1350100,1449600,1457900,1608600,1212050.0,3
Newport Coast,92657,1413500.0,1393900.0,1363500.0,1367500.0,1575100.0,1753400.0,1856300,1989000,2094700,2121300,1664250.0,3
North Tustin,92705,574800.0,581000.0,583300.0,512200.0,575000.0,666200.0,693200,735500,762200,807800,624750.0,3
Orange,92865,439200.0,428900.0,425800.0,410800.0,432800.0,520300.0,519800,562700,599000,625100,479500.0,3
Orange,92866,487400.0,463900.0,454000.0,443000.0,480600.0,553700.0,571300,632200,659100,695200,520550.0,3
Orange,92867,464000.0,449000.0,442600.0,416800.0,454700.0,526800.0,544800,607300,630200,668500,495400.0,3
Orange,92868,388100.0,355600.0,352400.0,329000.0,373300.0,440200.0,462400,480900,536200,576100,414150.0,3
Orange,92869,495900.0,461900.0,462000.0,441900.0,482500.0,554200.0,574700,622900,660800,697600,525050.0,3
Placentia,92870,472500.0,457900.0,434400.0,422400.0,453200.0,530100.0,539400,593600,617700,666600,501300.0,3
Rancho Santa Margarita,92688,478900.0,458800.0,441700.0,416500.0,453400.0,540800.0,556600,602400,630300,667100,509850.0,3
San Clemente,92624,660100.0,602100.0,556100.0,498900.0,566800.0,675900.0,706700,815900,833500,910700,668000.0,3
San Clemente,92672,731600.0,707200.0,610700.0,619300.0,651300.0,759000.0,800100,852400,902300,971300,745300.0,3
San Clemente,92673,619200.0,598100.0,561100.0,528900.0,595000.0,691900.0,707600,749700,764700,807200,655550.0,3
San Juan Capistrano,92675,513900.0,498700.0,458200.0,437500.0,487100.0,583600.0,603400,636300,665200,702500,548750.0,3
Santa Ana,92701,360000.0,280200.0,300100.0,310800.0,327800.0,394600.0,403000,434000,480200,529600,377300.0,3
Santa Ana,92703,336500.0,271300.0,288300.0,280800.0,326100.0,369900.0,397700,433200,456500,502800,353200.0,3
Santa Ana,92704,352000.0,306800.0,317900.0,308300.0,348500.0,387000.0,408100,449700,480200,537800,369500.0,3
Santa Ana,92706,417900.0,378000.0,354800.0,351100.0,386200.0,459400.0,495800,530700,578500,628000,438650.0,3
Santa Ana,92707,341800.0,273200.0,287900.0,283700.0,317900.0,382700.0,403100,429600,452600,490800,362250.0,3
Seal Beach,90740,721700.0,736200.0,730900.0,736600.0,757600.0,827500.0,876600,890100,959700,1030300,792550.0,3
Silverado,92676,603600.0,604600.0,504300.0,488100.0,546600.0,603300.0,621400,647900,718200,741900,604100.0,3
Stanton,90680,350100.0,326600.0,316000.0,305500.0,334100.0,384400.0,397000,441100,479700,516900,367250.0,3
Tustin,92780,465500.0,451800.0,450200.0,413900.0,466200.0,560000.0,559200,619300,658200,689600,512700.0,3
Tustin,92782,554500.0,545400.0,533000.0,494100.0,561000.0,631400.0,659400,662700,704200,744000,596200.0,3
Villa Park,92861,821500.0,757900.0,756500.0,707900.0,787700.0,869300.0,866400,953200,948700,1022000,843950.0,3
Westminster,92655,399600.0,389600.0,369000.0,340000.0,388400.0,431600.0,472900,524000,550300,618700,415600.0,3
Westminster,92683,427600.0,415900.0,398300.0,375000.0,407100.0,464200.0,494200,537000,562700,622300,445900.0,3
Yorba Linda,92886,524200.0,515200.0,501900.0,464900.0,512000.0,598800.0,618400,656100,674000,717300,561500.0,3
Yorba Linda,92887,575800.0,570400.0,560700.0,519800.0,575300.0,669400.0,666400,722500,744600,789000,621100.0,3
