City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Number of Bedrooms
Huntington Beach,92648,370800.0,358700.0,304400.0,292200.0,298100.0,370700.0,373000,462300,463500,492900,370750.0,1
Huntington Beach,92649,303500.0,306700.0,264200.0,232900.0,228300.0,290400.0,304200,339200,360000,380800,303850.0,1
Irvine,92606,300100.0,278700.0,275300.0,267000.0,277700.0,332400.0,340100,370200,386900,423600,316250.0,1
Irvine,92612,321500.0,278700.0,268100.0,247200.0,277300.0,347000.0,352700,372300,388600,426400,334250.0,1
Irvine,92614,302300.0,278000.0,278100.0,230300.0,259700.0,305100.0,323000,360100,373800,416100,303700.0,1
Irvine,92618,293900.0,279600.0,262700.0,223200.0,238800.0,314100.0,318200,338800,364100,396500,304000.0,1
Irvine,92620,252500.0,234900.0,195300.0,194700.0,221900.0,288100.0,302600,307800,325900,366700,270300.0,1
La Habra,90631,181400.0,139800.0,116000.0,106500.0,128500.0,166600.0,197100,207900,238500,269100,174000.0,1
Laguna Beach,92651,1273000.0,1190600.0,962200.0,932400.0,1013000.0,1219200.0,1313800,1397000,1505300,1608600,1246100.0,1
Laguna Niguel,92677,249800.0,212600.0,205900.0,191500.0,194200.0,270000.0,286300,303200,330300,358800,259900.0,1
Laguna Woods,92637,145200.0,121400.0,110400.0,116600.0,128000.0,150200.0,148200,158100,186900,196600,146700.0,1
Lake Forest,92630,,,,,,200400.0,211200,227800,254600,281900,227800.0,1
Mission Viejo,92691,197700.0,169000.0,155600.0,143300.0,152900.0,209800.0,228000,235700,251600,278700,203750.0,1
Mission Viejo,92692,,,,,305800.0,374000.0,376200,395600,428200,457300,385900.0,1
Newport Beach,92625,1315000.0,1278500.0,989100.0,1077800.0,1202900.0,1619500.0,1710800,1904500,1987600,2169500,1467250.0,1
Newport Beach,92660,549700.0,504900.0,422500.0,364700.0,402800.0,474100.0,508800,480300,603800,560000,492600.0,1
Newport Beach,92663,437100.0,400000.0,366200.0,352000.0,403600.0,484600.0,447800,491500,556600,574900,442450.0,1
North Tustin,92705,179400.0,138600.0,126100.0,128200.0,136800.0,195100.0,203700,243500,230000,266900,187250.0,1
Orange,92866,209100.0,164000.0,164000.0,148500.0,167600.0,198800.0,224700,263600,305400,351800,203950.0,1
Orange,92868,,,123700.0,121100.0,125700.0,172300.0,204100,212800,238700,258500,188200.0,1
Orange,92869,231200.0,212600.0,205200.0,160700.0,178800.0,221500.0,256300,276800,293100,310900,226350.0,1
Placentia,92870,253800.0,219800.0,216300.0,188200.0,186400.0,268200.0,269400,299300,319700,375000,261000.0,1
Rancho Santa Margarita,92688,199500.0,162200.0,148900.0,147200.0,165700.0,232800.0,247800,264200,281600,305900,216150.0,1
San Juan Capistrano,92675,,,,,,215300.0,211100,216800,244900,257200,216800.0,1
Santa Ana,92701,168100.0,115100.0,111200.0,114300.0,129400.0,178600.0,186000,196500,226100,259600,173350.0,1
Santa Ana,92703,270300.0,194900.0,209800.0,200600.0,219900.0,259400.0,296400,329000,360300,404100,264850.0,1
Santa Ana,92704,169300.0,112800.0,128500.0,115200.0,131800.0,178700.0,192100,218600,238900,277200,174000.0,1
Santa Ana,92707,151000.0,118300.0,124000.0,118600.0,131100.0,170400.0,200800,219800,229300,258100,160700.0,1
Seal Beach,90740,300600.0,281200.0,276700.0,225600.0,234700.0,282900.0,304800,321400,356200,399200,291750.0,1
Stanton,90680,210700.0,176100.0,185900.0,155200.0,164300.0,196200.0,223600,243800,261800,300100,203450.0,1
Tustin,92780,,,176000.0,163600.0,183700.0,225000.0,257300,267700,285700,317600,241150.0,1
Westminster,92683,348600.0,317100.0,322600.0,311800.0,291400.0,340500.0,395900,447000,461300,481300,344550.0,1
Yorba Linda,92886,198100.0,181800.0,181000.0,158600.0,178100.0,214400.0,249800,266300,235700,272100,206250.0,1
