City,Zipcode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Price,Number of Bedrooms
Aliso Viejo,92656,250900.0,197700.0,188300.0,168000.0,186500.0,265000.0,282000,300600,309200,344400,257950.0,1
Anaheim,92801,145000.0,105900.0,99500.0,105300.0,110800.0,130900.0,159300,171400,182400,220600,137950.0,1
Anaheim,92804,213400.0,172800.0,152900.0,141300.0,155700.0,201400.0,223300,245300,253400,278900,207400.0,1
Anaheim,92805,296800.0,258700.0,209800.0,188100.0,201700.0,254200.0,285100,302800,314100,339800,271900.0,1
Anaheim,92808,265200.0,249800.0,225000.0,206600.0,235600.0,296300.0,312500,345000,359500,385000,280750.0,1
Brea,92821,232900.0,199200.0,166000.0,161400.0,161200.0,210200.0,244100,277500,286400,346800,221550.0,1
Costa Mesa,92627,557800.0,455700.0,454200.0,463700.0,516800.0,599900.0,690800,707100,771000,853900,578850.0,1
Coto de Caza,92679,,,,,,289900.0,290000,297100,341800,366700,297100.0,1
Dana Point,92629,,,,,,,306700,317300,352000,399300,334650.0,1
Fountain Valley,92708,,,,,,,243200,266600,274900,311700,270750.0,1
Fullerton,92831,200300.0,164400.0,150100.0,137100.0,139600.0,192100.0,210700,232000,276800,286100,196200.0,1
Fullerton,92832,,,,,,204900.0,211200,226600,244900,273300,226600.0,1
Fullerton,92833,212900.0,162300.0,155200.0,146300.0,158700.0,212300.0,231900,243600,265200,299400,212600.0,1
Fullerton,92835,,,,,,238600.0,224600,231400,248500,295000,238600.0,1
Garden Grove,92840,198800.0,156900.0,151600.0,140900.0,142500.0,182400.0,207600,232300,261700,283200,190600.0,1
Garden Grove,92843,175600.0,110500.0,117300.0,122100.0,130700.0,179400.0,190600,205600,216900,272900,177500.0,1
Huntington Beach,92646,270200.0,269400.0,255200.0,225200.0,234500.0,268800.0,308300,321900,346300,384900,269800.0,1
Huntington Beach,92647,,,,,,220700.0,245000,261700,280300,304700,261700.0,1
