,City,Population,Total law enforcement employees,Total officers,Total civilians
0,Anaheim,340218,527,374,153
1,Brea,39744,131,94,37
2,Buena Park,81477,128,83,45
3,Costa Mesa,111253,209,134,75
4,Cypress,48364,66,53,13
5,Fountain Valley,55963,76,56,20
6,Fullerton,136750,211,142,69
7,Garden Grove,172892,221,156,65
8,Huntington Beach,192226,322,204,118
9,Irvine,214872,278,198,80
10,Laguna Beach,22990,85,47,38
11,La Habra,60947,105,68,37
12,La Palma,15751,32,24,8
13,Los Alamitos,11584,26,22,4
14,Newport Beach,86187,202,131,71
15,Orange,138020,226,158,68
16,Placentia,51127,62,44,18
17,Santa Ana,328343,601,336,265
18,Seal Beach,24452,49,31,18
19,Tustin,76428,140,92,48
20,Westminster,90756,133,92,41
