,State,City,Population,Total law enforcement employees,Total officers,Total civilians
0,,Anaheim,333746,606,424,182
1,,Brea,38762,144,103,41
2,,Buena Park,79431,139,93,46
3,,Costa Mesa,108898,238,162,76
4,,Cypress,47212,77,58,19
5,,Fountain Valley,55524,83,61,22
6,,Fullerton,132776,232,158,74
7,,Garden Grove,165629,244,171,73
8,,Huntington Beach,193241,364,224,140
9,,Irvine,209278,271,182,89
10,,Laguna Beach,24035,82,47,35
11,,La Habra,59202,105,68,37
12,,La Palma,15652,31,24,7
13,,Los Alamitos,11687,25,21,4
14,,Newport Beach,79821,231,142,89
15,,Orange,134852,233,159,74
16,,Placentia,50043,64,48,16
17,,Santa Ana,339674,677,365,312
18,,Seal Beach,24139,50,38,12
19,,Tustin,71272,149,96,53
20,,Westminster,88730,146,102,44
