,City,Population,Total law enforcement employees,Total officers,Total civilians
0,Anaheim,345320,518,361,157
1,Brea,40600,91,58,33
2,Buena Park,82632,119,84,35
3,Costa Mesa,112538,193,117,76
4,Cypress,49067,70,51,19
5,Fountain Valley,56805,78,60,18
6,Fullerton,139676,199,135,64
7,Garden Grove,175469,216,154,62
8,Huntington Beach,195842,310,193,117
9,Irvine,235830,281,194,87
10,Laguna Beach,23313,78,44,34
11,La Habra,61740,102,67,35
12,La Palma,15950,30,23,7
13,Los Alamitos,11735,27,23,4
14,Newport Beach,87639,211,135,76
15,Orange,140304,212,152,60
16,Placentia,52002,63,47,16
17,Santa Ana,332848,565,317,248
18,Seal Beach,24798,48,31,17
19,Tustin,78836,134,87,47
20,Westminster,91885,119,85,34
