,City,Population,Total law enforcement employees,Total officers,Total civilians
0,Anaheim,349471,577,399,178
1,Brea,42043,96,63,33
2,Buena Park,83684,119,83,36
3,Costa Mesa,113477,177,114,63
4,Cypress,49560,68,52,16
5,Fountain Valley,57392,79,60,19
6,Fullerton,140771,203,140,63
7,Garden Grove,176041,217,154,63
8,Huntington Beach,203233,330,210,120
9,Irvine,258198,298,203,95
10,Laguna Beach,23485,82,46,36
11,La Habra,62488,99,67,32
12,La Palma,16001,27,21,6
13,Los Alamitos,11789,25,22,3
14,Newport Beach,87749,217,139,78
15,Orange,140572,203,150,53
16,Placentia,52753,62,46,16
17,Santa Ana,337304,527,302,225
18,Seal Beach,24800,46,31,15
19,Tustin,81953,140,91,49
20,Westminster,92640,119,86,33
