,Unnamed: 0,City,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Forcible rape2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Overall Crime
0,5,Aliso Viejo,32,0,5,,3,24,363,53,276,34,1,796
1,8,Anaheim,1271,18,129,,439,685,10038,1476,6893,1669,28,22654
2,44,Brea,80,0,2,,31,47,1257,153,1035,69,2,2720
3,49,Buena Park,237,1,19,,67,150,2549,332,1831,386,5,5626
4,93,Costa Mesa,386,1,53,,122,210,4723,698,3558,467,18,10329
5,100,Cypress,56,0,3,,23,30,889,146,646,97,4,1994
6,102,Dana Point,57,0,9,,12,36,589,120,417,52,1,1395
7,145,Fountain Valley,66,1,2,,24,39,1517,268,1120,129,1,3312
8,149,Fullerton,389,0,66,,110,213,3893,468,2958,467,15,8728
9,152,Garden Grove,504,4,41,,155,304,4433,885,2899,649,25,10051
10,180,Huntington Beach,420,0,52,,117,251,4942,723,3846,373,23,10927
11,190,Irvine,144,2,27,,57,58,3868,523,3144,201,8,8222
12,201,Laguna Beach,76,0,8,,12,56,558,78,420,60,3,1472
13,202,Laguna Hills,43,0,8,,13,22,522,80,396,46,1,1333
14,203,Laguna Niguel,49,2,6,,12,29,691,113,529,49,1,1684
15,204,Laguna Woods,5,0,0,,2,3,141,17,117,7,0,496
16,205,La Habra,104,0,7,,37,60,1279,189,928,162,3,2974
17,208,Lake Forest,109,0,15,,23,71,908,134,684,90,2,2244
18,215,La Palma,13,0,0,,7,6,304,113,170,21,0,849
19,230,Los Alamitos,18,1,3,,10,4,224,52,121,51,2,716
20,253,Mission Viejo,86,1,14,,32,39,1090,155,859,76,7,2612
21,276,Newport Beach,112,2,20,,24,66,2181,394,1652,135,4,4866
22,286,Orange,172,7,11,,62,92,2897,525,2016,356,8,6432
23,312,Placentia,76,0,5,,17,54,746,132,518,96,1,1957
24,324,Rancho Santa Margarita,44,0,8,,9,27,303,45,249,9,1,1019
25,349,San Clemente,79,1,19,,16,43,771,163,534,74,7,2056
26,359,San Juan Capistrano,66,0,12,,15,39,429,94,282,53,1,1350
27,368,Santa Ana,1626,12,154,,523,937,7270,909,4494,1867,37,18197
28,382,Seal Beach,24,0,1,,5,18,594,80,478,36,0,1618
29,401,Stanton,152,0,14,,60,78,770,130,457,183,2,2247
30,420,Tustin,130,1,10,,38,81,1715,217,1344,154,5,4115
31,430,Villa Park,1,0,0,,1,0,83,34,47,2,0,598
32,441,Westminster,303,1,22,,118,162,2950,502,2123,325,6,6953
33,454,Yorba Linda,39,0,7,,7,25,650,152,463,35,1,1833
