,Unnamed: 0,City,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Forcible rape2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Overall Crime
0,5,Aliso Viejo,25,0,,2,4,19,315,71,224,20,3,688
1,8,Anaheim,1130,11,,82,437,600,9611,1412,6518,1681,35,21525
2,44,Brea,64,2,,4,22,36,1210,205,939,66,3,2595
3,49,Buena Park,221,2,,13,80,126,2165,361,1435,369,2,4823
4,93,Costa Mesa,252,1,,46,94,111,3556,512,2748,296,13,7722
5,100,Cypress,50,0,,4,17,29,934,148,689,97,6,2074
6,102,Dana Point,70,0,,9,10,51,586,133,429,24,0,1414
7,145,Fountain Valley,92,0,,9,20,63,1170,262,835,73,5,2674
8,149,Fullerton,372,0,,29,107,236,3859,627,2873,359,27,8638
9,152,Garden Grove,455,5,,16,137,297,3397,637,2221,539,29,7885
10,180,Huntington Beach,362,2,,31,100,229,4934,793,3796,345,25,10797
11,190,Irvine,113,2,,12,38,61,3285,583,2553,149,10,6996
12,201,Laguna Beach,41,0,,3,5,33,469,87,356,26,5,1226
13,202,Laguna Hills,53,0,,3,12,38,508,75,390,43,1,1325
14,203,Laguna Niguel,57,0,,4,13,40,624,95,500,29,1,1566
15,204,Laguna Woods,5,0,,2,1,2,132,22,100,10,2,480
16,205,La Habra,88,0,,8,33,47,1155,185,856,114,0,2691
17,208,Lake Forest,105,2,,12,23,68,813,150,620,43,1,2045
18,215,La Palma,10,0,,0,8,2,326,80,221,25,3,890
19,231,Los Alamitos,24,0,,2,11,11,360,108,213,39,0,999
20,254,Mission Viejo,62,0,,4,22,36,998,156,802,40,4,2378
21,277,Newport Beach,73,2,,7,13,51,2158,454,1600,104,11,4750
22,287,Orange,147,4,,8,64,71,2418,473,1673,272,15,5432
23,313,Placentia,66,2,,6,16,42,784,173,531,80,1,2014
24,325,Rancho Santa Margarita,17,0,,3,6,8,290,77,200,13,1,940
25,351,San Clemente,56,0,,3,21,32,844,209,582,53,2,2153
26,361,San Juan Capistrano,57,0,,0,13,44,439,115,302,22,2,1355
27,370,Santa Ana,1121,13,,51,463,594,6425,803,4163,1459,33,15495
28,384,Seal Beach,16,0,,1,8,7,462,93,336,33,1,1341
29,403,Stanton,112,1,,8,45,58,702,137,409,156,3,2034
30,422,Tustin,100,1,,6,36,57,1473,213,1147,113,5,3573
31,432,Villa Park,6,0,,0,0,6,86,30,56,0,3,619
32,443,Westminster,283,0,,13,84,186,2476,420,1720,336,8,5969
33,456,Yorba Linda,30,0,,5,6,19,700,172,482,46,1,1917
