,City,Population,Total law enforcement employees,Total officers,Total civilians
0,Anaheim,338492,548,389,159
1,Brea,38725,134,97,37
2,Buena Park,79929,135,90,45
3,Costa Mesa,110424,201,147,54
4,Cypress,47320,75,56,19
5,Fountain Valley,55879,76,56,20
6,Fullerton,133139,216,147,69
7,Garden Grove,166287,229,161,68
8,Huntington Beach,193545,339,215,124
9,Irvine,217193,289,200,89
10,Laguna Beach,24147,84,47,37
11,La Habra,59355,95,62,33
12,La Palma,15733,32,24,8
13,Los Alamitos,11698,26,22,4
14,Newport Beach,81882,216,137,79
15,Orange,137606,232,158,74
16,Placentia,50237,64,46,18
17,Santa Ana,340240,623,353,270
18,Seal Beach,24225,49,30,19
19,Tustin,72982,130,90,40
20,Westminster,89604,137,93,44
