,City,Population,Total law enforcement employees,Total officers,Total civilians
0,Anaheim,353504,562,408,154
1,Brea,42465,95,61,34
2,Buena Park,83768,121,81,40
3,Costa Mesa,113816,172,112,60
4,Cypress,49557,69,53,16
5,Fountain Valley,57291,80,59,21
6,Fullerton,141968,210,141,69
7,Garden Grove,176230,218,159,59
8,Huntington Beach,204071,334,214,120
9,Irvine,266663,301,213,88
10,Laguna Beach,23486,83,49,34
11,La Habra,62483,99,69,30
12,La Palma,15975,25,19,6
13,Los Alamitos,11774,26,23,3
14,Newport Beach,87482,228,140,88
15,Orange,141841,213,143,70
16,Placentia,52800,68,45,23
17,Santa Ana,337419,523,310,213
18,Seal Beach,24721,45,30,15
19,Tustin,81642,131,87,44
20,Westminster,92582,115,79,36
