,Unnamed: 0,City,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Overall Crime
0,5,Aliso Viejo,37.0,0.0,4.0,15.0,18.0,438.0,57.0,367.0,14.0,9.0,964.0
1,8,Anaheim,1184.0,9.0,72.0,504.0,599.0,7993.0,1457.0,5591.0,945.0,37.0,18399.0
2,44,Brea,68.0,1.0,2.0,40.0,25.0,1394.0,161.0,1153.0,80.0,4.0,2972.0
3,49,Buena Park,247.0,2.0,12.0,127.0,106.0,1982.0,441.0,1145.0,396.0,20.0,4527.0
4,93,Costa Mesa,304.0,1.0,27.0,114.0,162.0,3321.0,516.0,2557.0,248.0,14.0,7357.0
5,100,Cypress,89.0,1.0,9.0,35.0,44.0,750.0,102.0,558.0,90.0,8.0,1786.0
6,102,Dana Point,47.0,0.0,3.0,13.0,31.0,672.0,113.0,516.0,43.0,7.0,1547.0
7,144,Fountain Valley,116.0,0.0,4.0,33.0,79.0,1170.0,237.0,873.0,60.0,6.0,2722.0
8,148,Fullerton,526.0,2.0,44.0,189.0,291.0,3824.0,779.0,2684.0,361.0,16.0,8864.0
9,151,Garden Grove,541.0,6.0,34.0,167.0,334.0,3306.0,687.0,2145.0,474.0,21.0,7866.0
10,179,Huntington Beach,377.0,1.0,30.0,128.0,218.0,4571.0,704.0,3571.0,296.0,44.0,10119.0
11,189,Irvine,153.0,3.0,28.0,55.0,67.0,2996.0,481.0,2365.0,150.0,32.0,6519.0
12,199,Laguna Beach,86.0,1.0,11.0,9.0,65.0,524.0,115.0,389.0,20.0,4.0,1423.0
13,200,Laguna Hills,39.0,0.0,1.0,16.0,22.0,604.0,85.0,485.0,34.0,7.0,1493.0
14,201,Laguna Niguel,48.0,0.0,2.0,12.0,34.0,654.0,110.0,520.0,24.0,15.0,1620.0
15,202,Laguna Woods,10.0,1.0,1.0,3.0,5.0,107.0,15.0,81.0,11.0,0.0,436.0
16,203,La Habra,200.0,3.0,12.0,66.0,119.0,1236.0,264.0,873.0,99.0,5.0,3080.0
17,206,Lake Forest,109.0,0.0,3.0,30.0,76.0,964.0,179.0,721.0,64.0,11.0,2363.0
18,213,La Palma,20.0,1.0,0.0,6.0,13.0,208.0,59.0,124.0,25.0,2.0,671.0
19,228,Los Alamitos,32.0,1.0,2.0,13.0,16.0,278.0,56.0,195.0,27.0,8.0,856.0
20,250,Mission Viejo,95.0,0.0,5.0,38.0,52.0,1164.0,221.0,899.0,44.0,18.0,2786.0
21,273,Newport Beach,125.0,0.0,4.0,32.0,89.0,2239.0,512.0,1600.0,127.0,6.0,5007.0
22,283,Orange,160.0,2.0,11.0,68.0,79.0,2625.0,431.0,1959.0,235.0,16.0,5869.0
23,308,Placentia,94.0,1.0,5.0,23.0,65.0,967.0,188.0,703.0,76.0,6.0,2436.0
24,320,Rancho Santa Margarita,23.0,0.0,2.0,6.0,15.0,405.0,71.0,319.0,15.0,11.0,1187.0
25,348,San Clemente,69.0,1.0,8.0,28.0,32.0,866.0,168.0,644.0,54.0,11.0,2229.0
26,358,San Juan Capistrano,63.0,0.0,1.0,15.0,47.0,538.0,101.0,391.0,46.0,5.0,1565.0
27,367,Santa Ana,1726.0,25.0,77.0,869.0,755.0,6798.0,1160.0,4165.0,1473.0,94.0,17509.0
28,381,Seal Beach,51.0,0.0,1.0,10.0,40.0,504.0,133.0,338.0,33.0,2.0,1493.0
29,400,Stanton,135.0,3.0,5.0,56.0,71.0,617.0,120.0,376.0,121.0,1.0,1905.0
30,420,Tustin,92.0,0.0,4.0,57.0,31.0,1379.0,209.0,1039.0,131.0,8.0,3370.0
31,430,Villa Park,2.0,0.0,1.0,1.0,0.0,98.0,22.0,75.0,1.0,0.0,630.0
32,441,Westminster,265.0,0.0,14.0,93.0,158.0,2331.0,406.0,1701.0,224.0,9.0,5642.0
33,454,Yorba Linda,51.0,1.0,2.0,14.0,34.0,967.0,199.0,714.0,54.0,7.0,2497.0
