,Unnamed: 0,City,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Overall Crime
0,5,Aliso Viejo,37,0,4,8,25,439,87,324,28,3,960
1,8,Anaheim,1161,7,88,492,574,8473,1594,5869,1010,47,19323
2,44,Brea,71,1,3,28,39,1471,197,1200,74,4,3132
3,49,Buena Park,241,0,13,82,146,2007,355,1270,382,10,4555
4,93,Costa Mesa,240,1,34,93,112,3194,458,2454,282,10,6971
5,100,Cypress,63,0,2,37,24,787,121,584,82,5,1805
6,102,Dana Point,66,0,2,13,51,595,129,438,28,4,1428
7,144,Fountain Valley,103,3,5,28,67,1292,266,951,75,9,2943
8,148,Fullerton,425,3,26,145,251,3847,680,2825,342,22,8714
9,151,Garden Grove,539,3,22,184,330,3590,810,2318,462,13,8422
10,179,Huntington Beach,449,2,32,109,306,4673,767,3621,285,28,10451
11,189,Irvine,120,0,24,40,56,2798,480,2197,121,23,6048
12,199,Laguna Beach,78,0,5,8,65,474,82,379,13,1,1304
13,200,Laguna Hills,43,0,4,14,25,510,78,404,28,4,1310
14,201,Laguna Niguel,40,2,0,10,28,641,107,504,30,1,1564
15,202,Laguna Woods,15,2,0,7,6,104,14,82,8,0,440
16,203,La Habra,169,0,18,60,91,1236,258,846,132,1,3014
17,206,Lake Forest,92,0,8,32,52,959,161,736,62,5,2313
18,213,La Palma,9,0,0,5,4,218,65,141,12,2,669
19,229,Los Alamitos,14,0,1,7,6,279,74,179,26,1,816
20,252,Mission Viejo,70,0,5,19,46,1135,168,917,50,9,2671
21,275,Newport Beach,117,0,4,42,71,2176,425,1617,134,12,4873
22,285,Orange,150,3,3,56,88,2569,404,1944,221,13,5736
23,310,Placentia,85,0,5,23,57,844,158,614,72,5,2173
24,322,Rancho Santa Margarita,26,3,4,5,14,364,83,272,9,3,1105
25,349,San Clemente,61,3,1,24,33,782,199,526,57,4,2039
26,359,San Juan Capistrano,41,0,3,15,23,503,116,348,39,5,1452
27,368,Santa Ana,1510,28,88,719,675,6580,1116,4189,1275,139,16687
28,382,Seal Beach,47,1,4,5,37,524,122,374,28,5,1529
29,401,Stanton,156,2,1,63,90,643,151,405,87,4,2003
30,420,Tustin,128,1,9,56,62,1567,237,1186,144,14,3824
31,431,Villa Park,6,0,0,1,5,69,20,48,1,0,581
32,442,Westminster,259,2,17,102,138,2539,419,1848,272,10,6048
33,455,Yorba Linda,58,0,3,9,46,804,150,621,33,2,2181
