,City,Population,Total law enforcement employees,Total officers,Total civilians
0,Anaheim,344526,506,360,146
1,Brea,40253,123,85,38
2,Buena Park,82505,124,83,41
3,Costa Mesa,112635,198,128,70
4,Cypress,48976,71,55,16
5,Fountain Valley,56674,76,58,18
6,Fullerton,138455,204,139,65
7,Garden Grove,175079,212,153,59
8,Huntington Beach,194677,308,195,113
9,Irvine,217528,280,200,80
10,Laguna Beach,23283,82,44,38
11,La Habra,61731,100,66,34
12,La Palma,15954,30,23,7
13,Los Alamitos,11728,24,21,3
14,Newport Beach,87286,210,132,78
15,Orange,139692,216,155,61
16,Placentia,51778,69,46,23
17,Santa Ana,332482,578,319,259
18,Seal Beach,24764,48,31,17
19,Tustin,77400,131,86,45
20,Westminster,91908,121,87,34
