,City,Population,Total law enforcement employees,Total officers,Total civilians
0,Anaheim,346956,550,374,176
1,Brea,41359,92,59,33
2,Buena Park,83414,116,78,38
3,Costa Mesa,112709,185,113,72
4,Cypress,49370,69,53,16
5,Fountain Valley,57024,76,57,19
6,Fullerton,139895,200,137,63
7,Garden Grove,176106,214,152,62
8,Huntington Beach,199152,321,207,114
9,Irvine,242971,289,200,89
10,Laguna Beach,23371,82,45,37
11,La Habra,61964,101,66,35
12,La Palma,15977,30,22,8
13,Los Alamitos,11708,26,22,4
14,Newport Beach,87759,217,139,78
15,Orange,140767,209,150,59
16,Placentia,52513,64,45,19
17,Santa Ana,336462,496,264,232
18,Seal Beach,24727,45,31,14
19,Tustin,79046,141,92,49
20,Westminster,92217,123,89,34
