,Unnamed: 0,City,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Forcible rape2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Overall Crime
0,5,Aliso Viejo,35,1,5,,5,24,273,45,211,17,1,622
1,8,Anaheim,1101,14,,79,418,590,8196,1301,5620,1275,23,18625
2,44,Brea,53,0,,5,22,26,1124,171,897,56,3,2401
3,49,Buena Park,217,1,,13,65,138,2030,341,1411,278,2,4545
4,93,Costa Mesa,318,0,,45,120,153,3462,573,2583,306,18,7671
5,100,Cypress,51,0,,3,20,28,752,136,547,69,0,1706
6,102,Dana Point,71,0,12,,7,52,463,61,374,28,2,1172
7,145,Fountain Valley,86,0,,0,21,65,1023,196,759,68,1,2364
8,149,Fullerton,339,0,,55,101,183,3206,521,2380,305,25,7264
9,152,Garden Grove,406,5,,17,124,260,3098,646,1976,476,24,7184
10,180,Huntington Beach,391,1,45,,100,245,4238,643,3295,300,20,9458
11,190,Irvine,120,0,,28,36,56,3045,575,2344,126,8,6528
12,201,Laguna Beach,64,0,,4,7,53,462,98,340,24,2,1255
13,202,Laguna Hills,45,0,10,,11,24,441,92,316,33,1,1175
14,203,Laguna Niguel,73,1,11,,19,42,554,100,423,31,2,1459
15,204,Laguna Woods,6,0,,0,3,3,118,9,104,5,0,452
16,205,La Habra,105,2,,7,46,50,1049,152,815,82,3,2516
17,208,Lake Forest,104,0,19,,18,67,682,127,493,62,2,1782
18,215,La Palma,12,0,,1,7,4,247,86,142,19,0,733
19,231,Los Alamitos,16,0,,2,6,8,204,57,118,29,0,671
20,254,Mission Viejo,71,5,9,,23,34,864,147,679,38,1,2125
21,277,Newport Beach,109,0,,17,21,71,1880,357,1419,104,1,4256
22,287,Orange,142,0,,10,53,79,2241,366,1631,244,23,5076
23,313,Placentia,82,1,,3,14,64,732,159,501,72,5,1946
24,325,Rancho Santa Margarita,27,0,10,,1,16,203,39,148,16,0,785
25,351,San Clemente,69,0,12,,17,40,687,129,485,73,1,1864
26,361,San Juan Capistrano,62,2,10,,14,36,383,61,282,40,2,1253
27,370,Santa Ana,1260,18,,115,452,675,5784,793,3685,1306,21,14479
28,384,Seal Beach,26,0,1,,7,18,494,88,372,34,0,1424
29,403,Stanton,124,2,14,,44,64,684,127,418,139,1,2020
30,422,Tustin,132,0,,16,39,77,1356,193,1047,116,7,3405
31,432,Villa Park,5,0,2,,2,1,84,29,50,5,0,610
32,443,Westminster,194,2,,20,74,98,2210,381,1534,295,10,5261
33,456,Yorba Linda,45,1,13,,7,24,702,139,506,57,2,1952
